YEAR,MONTH,INDEX
1997,2,1.48
1997,3,1.13
1997,4,-1.25
1997,5,-0.21
1997,6,-1.17
1997,7,0.37
1997,8,0.94
1997,9,0.74
1997,10,-1.34
1997,11,-1.08
1997,12,-0.98
1998,1,-0.05
1998,2,-0.57
1998,3,0.51
1998,4,-0.88
1998,5,-1.17
1998,6,-2.44
1998,7,-0.45
1998,8,-0.15
1998,9,-1.8
1998,10,0.2
1998,11,-0.43
1998,12,0.72
1999,1,0.39
1999,2,-0.11
1999,3,-0.16
1999,4,-1.18
1999,5,0.9
1999,6,1.44
1999,7,-0.87
1999,8,0.38
1999,9,0.5
1999,10,0.73
1999,11,0.55
1999,12,1.4
2000,1,0.19
2000,2,1.48
2000,3,0.4
2000,4,-0.18
2000,5,1.52
2000,6,0.28
2000,7,-1
2000,8,-0.5
2000,9,-0.06
2000,10,1.51
2000,11,-1.1
2000,12,-0.63
2001,1,-0.22
2001,2,0.07
2001,3,-1.73
2001,4,-0.15
2001,5,0.03
2001,6,0.11
2001,7,-0.22
2001,8,-0.22
2001,9,-0.49
2001,10,0.25
2001,11,0.53
2001,12,-0.86
2002,1,0
2002,2,0.8
2002,3,0.32
2002,4,1.14
2002,5,-0.15
2002,6,0.69
2002,7,0.65
2002,8,0.36
2002,9,-0.54
2002,10,-1.97
2002,11,-0.32
2002,12,-0.96
2003,1,-0.32
2003,2,0.26
2003,3,-0.07
2003,4,-0.34
2003,5,0.06
2003,6,0.24
2003,7,0.16
2003,8,-0.22
2003,9,0.16
2003,10,-0.86
2003,11,0.77
2003,12,0.5
2004,1,-0.85
2004,2,-0.6
2004,3,0.67
2004,4,1.11
2004,5,0.23
2004,6,-0.59
2004,7,1.16
2004,8,-0.74
2004,9,0.52
2004,10,-0.69
2004,11,0.63
2004,12,1.03
2005,1,1.26
2005,2,-0.51
2005,3,-2.32
2005,4,-0.47
2005,5,-1.11
2005,6,0.26
2005,7,-0.48
2005,8,0.35
2005,9,0.76
2005,10,-0.55
2005,11,-0.46
2005,12,-0.5
2006,1,0.97
2006,2,-1.02
2006,3,-1.75
2006,4,1.2
2006,5,-1.01
2006,6,1.15
2006,7,0.93
2006,8,-2.35
2006,9,-1.43
2006,10,-1.92
2006,11,0.33
2006,12,1.15
2007,1,-0.25
2007,2,-0.98
2007,3,1.11
2007,4,0.04
2007,5,0.66
2007,6,-1.01
2007,7,-0.55
2007,8,-0.31
2007,9,0.85
2007,10,1
2007,11,0.48
2007,12,0.23
2008,1,0.53
2008,2,0.38
2008,3,-0.32
2008,4,-1.31
2008,5,-1.55
2008,6,-1.09
2008,7,-1.24
2008,8,-1.62
2008,9,1.14
2008,10,0.47
2008,11,-0.47
2008,12,-0.35
2009,1,-0.52
2009,2,-0.38
2009,3,0.19
2009,4,-0.36
2009,5,1.61
2009,6,-0.91
2009,7,-2.11
2009,8,-0.37
2009,9,1.62
2009,10,-0.61
2009,11,-0.16
2009,12,-1.88
2010,1,-1.8
2010,2,-2.69
2010,3,-1.33
2010,4,-0.93
2010,5,-1.33
2010,6,-0.52
2010,7,-0.39
2010,8,-1.69
2010,9,-0.62
2010,10,-0.5
2010,11,-1.84
2010,12,-1.8
2011,1,-1.53
2011,2,0.35
2011,3,0.24
2011,4,2.55
2011,5,-0.01
2011,6,-0.98
2011,7,-1.48
2011,8,-1.85
2011,9,0.67
2011,10,0.94
2011,11,1.3
2011,12,2.25
2012,1,0.86
2012,2,0.03
2012,3,0.93
2012,4,0.37
2012,5,-0.79
2012,6,-2.25
2012,7,-1.29
2012,8,-1.39
2012,9,-0.43
2012,10,-1.73
2012,11,-0.74
2012,12,0.07
2013,1,-0.11
2013,2,-0.96
2013,3,-2.09
2013,4,0.6
2013,5,0.58
2013,6,0.83
2013,7,0.7
2013,8,1.12
2013,9,0.38
2013,10,-0.88
2013,11,0.81
2013,12,0.79
2014,1,-0.17
2014,2,1.07
2014,3,0.44
2014,4,0.19
2014,5,-0.8
2014,6,-0.67
2014,7,0.21
2014,8,-2.28
2014,9,1.72
2014,10,-0.87
2014,11,0.58
2014,12,1.63
2015,1,1.57
2015,2,1.05
2015,3,1.12
2015,4,0.64
2015,5,0.19
2015,6,0.24
2015,7,-3.14
2015,8,-1.1
2015,9,-0.49
2015,10,0.99
2015,11,1.7
2015,12,1.99
2016,1,-0.37
2016,2,1.35
2016,3,0.37
2016,4,0.26
2016,5,-0.67
2016,6,-0.13
2016,7,-1.72
2016,8,-2.24
2016,9,0.74
2016,10,0.96
2016,11,-0.31
2016,12,0.35
2017,1,0.05
2017,2,0.69
2017,3,0.37
2017,4,1.74
2017,5,-1.72
2017,6,0.35
2017,7,1.28
2017,8,-1.53
2017,9,-0.45
2017,10,0.71
2017,11,-0.14
2017,12,0.73
2018,1,1.17
2018,2,1.34
2018,3,-1.38
2018,4,1.2
2018,5,2.02
2018,6,1.41
2018,7,1.42
2018,8,2.4
2018,9,1.78
2018,10,1.53
