No,Entity Name,Science Center,Assessment Year,Last Data Year,Assessment Level,Citation,Comments,Best F,F Year,Flimit,Fmsy,F/Flimit,F/Fmsy,Best B,B Year,B/Blimit,B/Bmsy,Stock Level Relative to Bmsy,Bmsy,Blim
11,Longfin inshore squid - Georges Bank / Cape Hatteras,,2017,,,Doryteuthis update 2017,no F ref pts for stock,,2016,,,,,73762,2016,3.478847333,1.739464686,,,
12,Northern shortfin squid - Northwestern Atlantic Coast,NEFSC,2003,2002,2,SARC 37 Report (2003),,,,,,,,,,,,,,
13,Northern shortfin squid - Northwestern Atlantic Coast,NEFSC,2005,2004,2,SARC 42 Report (2006),Partial acceptance of assessment,,,,,,,,,,,,,
14,Northern shortfin squid - Northwestern Atlantic Coast,,2017,,,data update,no ref pots for stock,,,,,,,,,,,,,
15,Atlantic surfclam - Mid-Atlantic Coast,NEFSC,2003,2002,3,SARC 37 Report (2003),,,,,,0.22,,,,,1.1,,,
16,Atlantic surfclam - Mid-Atlantic Coast,NEFSC,2006,2005,4,NEFSC CRD 07-03 (2007),F/Fmsy and F/Ftarget are not defined.,0.019,2005,0.15,,0.13,,1170000,2005,2.6,1.3,Above,,
17,Atlantic surfclam - Mid-Atlantic Coast,NEFSC,2009,2008,4,NEFSC CRD 10-01 (2010),,0.027,2008,0.15,0.15,0.18,0.18,878000,2008,3.228,1.617,ABOVE,,
18,Atlantic surfclam - Mid-Atlantic Coast,NEFSC,2013,2011,4,NEFSC CRD 13-04 (2013),,0.027,2011,0.15,0.15,0.18,0.18,1060000,2011,2.181,1.09,ABOVE,,
19,Atlantic surfclam - Mid-Atlantic Coast,NEFSC,2016,2015,4,NEFSC CRD 17-05 (2017),,0.0091,2015,,0.12,0.295,0.295,46355,2015,,2.54,ABOVE,,
20,Atlantic surfclam - Mid-Atlantic Coast,,2017,,,SAW/SARC 61,relative ref pts only,,2015,,,0.295,0.295,,2015,,2.54,,,
21,Ocean quahog - Atlantic Coast,NEFSC,2003,2002,3,SARC 38 Report (2004),,,,,,,,,,,,,,
22,Ocean quahog - Atlantic Coast,NEFSC,2006,2005,4,NEFSC CRD 07-03 (2007),F/Fmsy is not defined.,0.005,2005,0.052,,0.09,,3039000,2005,3.06,1.53,Above,,
23,Ocean quahog - Atlantic Coast,NEFSC,2009,2008,4,NEFSC CRD 09-10 (2009),,0.01,2008,0.022,,0.455,,2905000,2008,2.029,1.623,ABOVE,,
24,Ocean quahog - Atlantic Coast,NEFSC,2013,2011,4,"NEFSC CRD 13-17 (2013). Stock Assessment Update for Ocean Quahogs (Arctice islandica) through 2011 -- by Chute et. al.; MAFMC Briefing Material June 10-13, 2013 staff memo.",,0.01,2011,0.022,,0.455,,2961000,2008,2.13,1.712,ABOVE,,
25,Ocean quahog - Atlantic Coast,,2017,,,CRD17-10,,0.005,2016,0.019,0.019,0.263157895,0.263157895,3287300,2016,2.040701038,1.632560831,,,
26,Bluefish - Atlantic Coast,NEFSC,2004,2003,2,SARC 39 Report (2004),,,,,,,,,,,,,,
27,Bluefish - Atlantic Coast,NEFSC,2005,2004,4,SARC 41 Report (2005),,,,,,0.79,,,,,0.71,,,
28,Bluefish - Atlantic Coast,NEFSC,2007,2006,4,"ASMFC Bluefish SASC, June 2007",F/Ftarget is not defined.,0.15,2006,0.19,0.19,0.79,0.79,139496,2006,1.9,0.95,Near,,
29,Bluefish - Atlantic Coast,NEFSC,2008,2007,4,ASMFC Bluefish SASC July 9 2008,,0.15,2007,0.19,0.19,0.789,0.789,153843,2007,2.092,1.046,ABOVE,,
30,Bluefish - Atlantic Coast,NEFSC,2009,2008,4,ASMFC Bluefish SASC (June 2009),,0.12,2008,0.19,0.19,0.632,0.632,163727,2008,2.227,1.113,ABOVE,,
31,Bluefish - Atlantic Coast,NEFSC,2010,2009,4,NEFSC CRD 10-15 (2010),,0.1,2009,0.19,0.19,0.526,0.526,155991,2009,2.122,1.061,ABOVE,,
32,Bluefish - Atlantic Coast,NEFSC,2011,2010,4,"MAFMC Memo to Chris Moore, 7/6/2011. Bluefish ABC and Management Measures for 2012; and Bluefish 2011 Stock Assessment Update",,0.14,2010,0.19,0.19,0.737,0.737,140300,2010,1.908,0.954,NEAR,,
33,Bluefish - Atlantic Coast,NEFSC,2012,2011,4,"MAFMC Memo to Chris Moore, 7/31/12. Bluefish Management Measures for 2013 and 2014; and ""Bluefish 2012 Stock Assessment Update"" by Coastal/Pelagic WG, NEFSC; NEFSC CRD13-07 by Anthony Wood.",This stock assessment update was published as NEFSC CRD13-07.,0.114,2011,0.19,0.19,0.6,0.6,132890,2011,1.807,0.904,NEAR,,
34,Bluefish - Atlantic Coast,NEFSC,2013,2012,4,"""Bluefish 2013 Stock Assessment Update"" by Anthony Wood, NEFSC. Submitted to MAFMC SSC 9/17/13.",,0.097,2012,0.19,0.19,0.6,0.511,125808,2012,1.711,0.856,NEAR,,
35,Bluefish - Atlantic Coast,NEFSC,2015,2014,4,SAW60 NEFSC CRD 15-08,,0.141,2014,0.17,0.17,0.829411765,0.829411765,"92,755",2014,1.667835437,0.833917719,,,
36,Black sea bass - Mid-Atlantic Coast,NEFSC,2004,2003,1,SARC 39 Report (2004),,,,,,0.79,,,,,1.46,,,
37,Black sea bass - Mid-Atlantic Coast,NEFSC,2006,2006,1,NEFSC CRD 06-14 (2006),"F estimates were rejected by SARC; F/Flimit and F/Fmsy are unknown, F/Ftarget and B/Bmsy are not defined.",,,0.33,,,,0.55,2006,0.56,,,,
38,Black sea bass - Mid-Atlantic Coast,NEFSC,2008,2007,4,"NEFSC Memo (Thompson) April 13, 2009; NEFSC CRD 09-02 (2009)",,0.48,2007,0.42,0.42,1.143,1.143,11478,2007,1.831,0.916,BELOW,,
39,Black sea bass - Mid-Atlantic Coast,NEFSC,2009,2008,4,NEFSC CRD 09-16 (2009),,0.28,2008,0.42,0.42,0.667,0.667,12882,2008,2.055,1.028,ABOVE,,
40,Black sea bass - Mid-Atlantic Coast,NEFSC,2010,2009,4,NEFSC CRD 10-13 (2010),,0.29,2009,0.42,0.42,0.69,0.69,12978,2009,2.071,1.035,ABOVE,,
41,Black sea bass - Mid-Atlantic Coast,NEFSC,2011,2010,4,"MAFMC Memo to C. Moore, 6/27/11. Black Sea Bass Management Measures for 2012; & BSB 2012 Projection Update","The Black sea bass benchmark assessment at SAW/SARC53 in December 2011 and published in Jan 2012, was rejected (as described in SIS record 2012.1. Therefore, refer to the previous SIS record (i.e., 2010.7) to get the last accepted assessment info.",0.41,2010,0.42,0.42,0.976,0.976,13926,2010,2.222,1.111,ABOVE,,
42,Black sea bass - Mid-Atlantic Coast,NEFSC,2012,2011,4,"MAFMC Memo to C. Moore, 7/23/12. Black Sea Bass Management Measures for 2013-2015; & ""BSB Assess. Summary for 2012"" by G. Shepherd","In this July 2012 update, the BRPs were updated based on changes to the input data (15% B2 mortality, arithmetic mean of survey indices, use of MRIP data, and a modified growth curve using new age data). These data changes were recommended by the SAW/SARC53 in December 2011.The same assessment model (SCALE) that had been accepted for the previous update was used this time.",0.21,2010,0.44,0.44,0.477,0.477,11145,2011,2.049,1.024,ABOVE,,
43,Black sea bass - Mid-Atlantic Coast,NEFSC,2015,2014,1,DLM Toolbox,"used to set an ABC, no OFL available, no ref pts!",,,,,,,,,,,UNKNOWN,,
44,Black sea bass - Mid-Atlantic Coast,NEFSC,2017,2015,4,NEFSC CRD 17-03 (2017),ASAP is new preferred model,0.27,2015,0.36,0.36,0.75,0.75,22176,2015,4.588,2.294,ABOVE,,
45,Scup - Atlantic Coast,NEFSC,2002,2002,1,SARC 35 Report (2003),,,,,,,,,,,1.16,,,
46,Scup - Atlantic Coast,NEFSC,2005,2005,1,"MAFMC, Scup Management Measures, 2006","F/Flimit and F/Fmsy are unknown, F/Ftarget is not defined. B estimate is for 2003-05.",,,0.26,0.26,,,0.69,,0.25,0.25,Below,,
47,Scup - Atlantic Coast,NEFSC,2008,2007,4,"NEFSC Memo (Thompson) April 20, 2009; NEFSC CRD 09-02 (2009)",,0.054,2007,0.177,0.177,0.305,0.305,119343,2007,2.593,1.297,ABOVE,,
48,Scup - Atlantic Coast,NEFSC,2009,2008,4,NEFSC RD 09-18 (2009),,0.048,2008,0.177,0.177,0.271,0.271,188000,2008,4.085,2.043,ABOVE,,
49,Scup - Atlantic Coast,NEFSC,2010,2009,4,NEFSC RD 10-16 (2010),,0.043,2009,0.177,0.177,0.243,0.243,154545,2009,3.358,1.679,ABOVE,,
50,Scup - Atlantic Coast,NEFSC,2011,2010,4,NEFSC RD 11-21 (2011),,0.04,2010,0.177,0.177,0.226,0.226,186262,2009,4.047,2.024,ABOVE,,
51,Scup - Atlantic Coast,NEFSC,2012,2011,4,"""Stock Assessment of Scup for 2012"" by M. Terceiro; and Memo to C. Moore from MAFMC staff 7/31/12",,0.034,2010,0.177,0.177,0.192,0.192,190424,2009,4.138,2.069,ABOVE,,
52,Scup - Atlantic Coast,NEFSC,2015,2014,4,SAW60 NEFSC CRD 15-08,,0.127,2014,0.22,0.22,0.577272727,0.577272727,"182,915",2014,4.190396554,2.095198277,ABOVE,,
53,Scup - Atlantic Coast,,2017,,,Stock assessment update 2017,,0.139,2016,0.22,0.22,0.631818182,0.631818182,"179,898",2016,4.121280154,2.060640077,,,
54,Summer flounder - Mid-Atlantic Coast,NEFSC,2004,2005,4,SARC 41 Report (2005),,,,,,1.04,,,,,0.403,,,
55,Summer flounder - Mid-Atlantic Coast,NEFSC,2005,2004,4,NEFSC CRD 05-10 (2005),F/Ftarget is not defined.,0.4,2004,0.276,0.276,1.45,1.45,38600,2004,0.83,0.42,Below,,
56,Summer flounder - Mid-Atlantic Coast,NEFSC,2006,2005,4,NEFSC CRD 06-17 (2006),,0.53,2005,0.276,0.276,1.92,1.92,47800,2006,1.03,0.52,Below,,
57,Summer flounder - Mid-Atlantic Coast,NEFSC,2007,2006,4,NEFSC CRD 06-17 (2006),,0.35,2006,0.276,0.276,1.27,1.27,42316,2006,0.95,0.47,Below,,
58,Summer flounder - Mid-Atlantic Coast,NEFSC,2008,2007,4,NEFSC CRD08-11,MSY from SAW-47 (2008),0.288,2007,0.31,0.31,0.929,0.929,43363,2007,1.444,0.722,BELOW,,
59,Summer flounder - Mid-Atlantic Coast,NEFSC,2009,2008,4,NEFSC CRD 09-17 (2009),MSY from SAW-47 (2008),0.25,2008,0.31,0.31,0.806,0.806,46029,2008,1.532,0.766,ABOVE,,
60,Summer flounder - Mid-Atlantic Coast,NEFSC,2010,2009,4,NEFSC CRD 10-14 (2010),,0.237,2009,0.31,0.31,0.765,0.765,53458,2009,1.78,0.89,BELOW,,
61,Summer flounder - Mid-Atlantic Coast,NEFSC,2011,2010,4,NEFSC CRD 11-20 (2011),,0.216,2010,0.31,0.31,0.697,0.697,60238,2010,2.005,1.003,ABOVE,,
62,Summer flounder - Mid-Atlantic Coast,NEFSC,2012,2011,4,"""Stock Assessment of Summer Flounder for 2012"" by Mark Terceiro; and Memo to C. Moore from MAFMC staff 7/20/12",,0.241,2010,0.31,0.31,0.777,0.777,57020,2011,1.898,0.949,NEAR,,
63,Summer flounder - Mid-Atlantic Coast,NEFSC,2013,2012,4,NEFSC CRD13-14 (57th SAW Assessment Summary Report),,0.285,2012,0.309,0.309,0.922,0.922,51238,2012,1.642,0.821,NEAR,,
64,Summer flounder - Mid-Atlantic Coast,NEFSC,2015,2014,4,Summer_Flounder_2016_Assess_Update.pdf,,0.359,2014,0.309,0.309,1.161812298,1.161812298,40323,2014,1.292528128,0.646264064,,,
65,Summer flounder - Mid-Atlantic Coast,,2016,,,Summer_Flounder_2015_Assess_Update.pdf,,0.39,2015,0.309,0.309,1.262135922,1.262135922,36240,2015,1.15979134,0.580825079,,,
66,Tilefish - Mid-Atlantic Coast,NEFSC,1998,1997,3,S&S Committee Report (1998),,,,,,,,,,,,,,
67,Tilefish - Mid-Atlantic Coast,NEFSC,2005,2005,3,SARC 41 Report (2005),,,,,,0.87,,,,,0.72,,,
68,Tilefish - Mid-Atlantic Coast,NEFSC,2009,2008,3,NEFSC CRD 09-10 (2009),"Even though the point estimate of biomass was slightly above the biomass target, the SARC review panel was not convinced that the tilefish stock was rebuilt.",0.06,2008,0.16,0.16,0.375,0.375,11910,2008,,1.045,,,
69,Tilefish - Mid-Atlantic Coast,NEFSC,2014,2012,4,NEFSC CRD 14-03 (2014),"This assessment is based on a new model, and the review panel concluded that the stock is now rebuilt. The Level was raised from 3 to 4 because this is an age-based assessment model.",0.275,2012,0.37,0.37,0.743,0.743,5229,2012,2.029,1.015,ABOVE,,
70,Tilefish - Mid-Atlantic Coast,,2017,,,GoldenTilefishAssessUpdate2017,,0.249,2016,0.31,0.31,0.803225806,0.803225806,8479,2016,1.786557101,0.89327855,,,
71,Atlantic herring - Northwestern Atlantic Coast,NEFSC,2003,2002,4,TRAC Document (2002),,,,,,,,,,,,,,
72,Atlantic herring - Northwestern Atlantic Coast,NEFSC,2006,2005,4,Transboundary Resource & Assessment Committee Status Report 2006/01,F/Ftarget is not defined.,0.11,2005,0.31,0.31,0.35,0.35,1040000,2005,3.31,1.65,Above,,
73,Atlantic herring - Northwestern Atlantic Coast,NEFSC,2009,2008,4,TRAC Status Report 2009/04,,0.14,2008,0.27,0.27,0.519,0.519,652000,2008,1.945,0.972,,,
74,Atlantic herring - Northwestern Atlantic Coast,NEFSC,2012,2011,5,"SAW/SARC54 , NEFSC CRD12-14",Assessment level was revised from 4 to 5 based on the use of consumption data to scale herring M in the model.,0.14,2011,0.27,0.27,0.519,0.519,517930,2008,6.598,3.299,ABOVE,,
75,Atlantic herring - Northwestern Atlantic Coast,NEFSC,2015,2014,5,2015 herring operational assessment,,0.16,2014,0.27,0.27,0.592592593,0.592592593,622991,2014,,2.078008152,Above,299802,
76,Atlantic herring - Northwestern Atlantic Coast,NEFSC,2018,2017,,NEFSC CRD 18-11,,0.45,2017,0.51,0.51,0.882352941,0.882352941,141473,2017,1.497068783,0.748534392,Below,189000,94500
77,Sea scallop - Northwestern Atlantic Coast,NEFSC,2007,2006,4,NEFSC CRD 07-11 (2007),F/Fmsy is not defined.,0.23,2006,0.29,,0.79,,166000,2006,3.06,1.53,Above,,
78,Sea scallop - Northwestern Atlantic Coast,NEFSC,2010,2009,4,NEFSC CRD 10-09 (2010),,0.378,2009,0.38,0.38,0.995,0.995,129700,2009,2.069,1.035,ABOVE,,
79,Sea scallop - Northwestern Atlantic Coast,Sea scallop - Northwestern Atlantic Coast,2014,2013,,NEFSC CRD 14-09,,0.32,2013,0.48,0.48,0.666666667,0.666666667,132561,2013,1.373973881,2.747947761,ABOVE,,
80,Sea scallop - Northwestern Atlantic Coast,,2018,2017,,NEFSC CRD 18-11,,0.12,2017,0.64,0.64,0.1875,0.1875,380389,2017,6.515406882,3.257703441,Above,116766,58383
81,Red deepsea crab - Northwestern Atlantic,NEFSC,2006,2005,1,NEFSC CRD 06-14 (2006),"Flimit is unknown; F/Flimit, F/Ftarget, B/Blimit, and B/Bmsy are not defined. Biomass estimates are for 2003-05. SARC 43-status is uncertain. BRP's are unreliable.",2013,2005,,2830,,0.71,13800,,,,UNKNOWN,,
82,Acadian redfish - Gulf of Maine / Georges Bank,NEFSC,2001,2000,4,SARC 33 Report (2001),,,,,,0.05,,,,,0.33,,,
83,Acadian redfish - Gulf of Maine / Georges Bank,NEFSC,2005,2004,4,GARM Report (2005),,,,,,0.05,,,,1.49,0.74,,,
84,Acadian redfish - Gulf of Maine / Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.007,2007,,0.04,0.04,0.175,172342,2007,1.272,0.636,,,
85,Acadian redfish - Gulf of Maine / Georges Bank,NEFSC,2012,2010,4,NEFSC CRD 12-06,Stock is rebuilt. This is a change since GARM III in 2008.,0.006,2010,0.04,0.04,0.15,0.15,314780,2010,2.645,1.323,ABOVE,,
86,Acadian redfish - Gulf of Maine / Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,0.012,2014,0.038,0.038,0.315789474,0.315789474,414544,2014,,1.474657788,ABOVE,281112,
87,Acadian redfish - Gulf of Maine / Georges Bank,,2017,2016,,2017 operational assessment,,0.011,2016,0.038,0.038,0.289473684,0.289473684,"359,970",2016,,1.451972023,,"247,918",
88,American plaice - Gulf of Maine / Georges Bank,NEFSC,2002,2001,4,GARM Report (2002),,,,,,2.59,,,,,0.483,,,
89,American plaice - Gulf of Maine / Georges Bank,NEFSC,2005,2004,4,GARM Report (2005),,,,,,0.92,,,,,0.5,,,
90,American plaice - Gulf of Maine / Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.09,2007,0.19,0.19,0.474,0.474,11106,2007,1.012,0.506,,,
91,American plaice - Gulf of Maine / Georges Bank,NEFSC,2012,2010,4,NEFSC CRD 12-06,"The last data year in the assessment record and the time series are not the same. From Science Center Reference Document 12-06: Fishing mortality in 2010 (0.09) rho-adjusted to 0.13 is among the lowest estimates in the time series. Biomass has been increasing since 2004 and the 2010 SSB (17,642 mt), rho-adjusted to 10,805 mt is 59% of SSBMSY. SSB in 2010 is estimated to be 10,805 mt, retrospective rho-adjusted. F in 2010 is estimated to be 0.13, retrospective rho-adjusted.",0.13,2010,0.18,0.18,0.722,0.722,10805,2010,1.175,0.587,BELOW,,
92,American plaice - Gulf of Maine / Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,0.116,2014,0.196,0.196,0.591836735,0.591836735,14543,2014,,1.094446117,ABOVE,13288,
93,American plaice - Gulf of Maine / Georges Bank,,2017,2016,,2017 operational assessment,,0.111,2016,0.216,0.216,0.513888889,0.513888889,13351,2016,,0.988743242,,"13,503",
94,Atlantic cod - Georges Bank,NEFSC,2002,2001,4,GARM Report (2002),,,,,,2.17,,,,,0.134,,,
95,Atlantic cod - Georges Bank,NEFSC,2005,2004,4,GARM Report (2005),,,,,,1.37,,,,,0.1,,,
96,Atlantic cod - Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.3,2007,0.25,0.25,1.2,1.2,17672,2007,0.239,0.119,,,
97,Atlantic cod - Georges Bank,NEFSC,2012,2010,4,NEFSC CRD 12-06,,0.45,2010,0.23,0.23,1.957,1.957,11289,2010,0.161,0.08,BELOW,,
98,Atlantic cod - Georges Bank,NEFSC,2013,2011,4,NEFSC CRD 13-01 (SARC55),"GBK cod assessment, SARC55, 2013. The reported B2011 and F2011 estimates were adjusted for the retrospective pattern in the model.",0.43,2011,0.18,0.18,2.389,2.389,13216,2011,0.142,0.071,BELOW,,
99,Atlantic cod - Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,1.68,2014,0.169,0.169,9.940828402,9.940828402,1804,2014,,0.008968342,BELOW,201152,
100,Atlantic cod - Georges Bank,,2017,2016,,2017 operational assessment,,0.174,,NA,NA,,,,,,,,,
101,Atlantic cod - Gulf of Maine,NEFSC,2002,2001,4,GARM Report (2002),,,,,,2.09,,,,,0.266,,,
102,Atlantic cod - Gulf of Maine,NEFSC,2005,2004,4,GARM Report (2005),,,,,,2.8,,,,,0.23,,,
103,Atlantic cod - Gulf of Maine,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.456,2007,0.24,0.24,1.9,1.9,33878,2007,1.163,0.582,,,
104,Atlantic cod - Gulf of Maine,NEFSC,2012,2010,4,NEFSC CRD 12-03 (SAW/SARC53),,1.14,2010,0.2,0.2,5.7,5.7,11868,2010,0.388,0.194,BELOW,,
105,Atlantic cod - Gulf of Maine,NEFSC,2013,2011,4,NEFSC CRD 13.01 (SAW/SARC55),"This GOM cod assessment was accepted, but 2 models were put forward by the SARC55. Biomass is in mt. F is full F, not retrospective adjusted. Model 1. The results from the M=0.2 model are: SSB2011 = 9,903; SSBmsy proxy = 54,743; 1/2Bmsy proxy = 27,371; MSY = 9,399; F2011 = 0.86; Fmsy proxy = F40%msp = 0.18; B2011/Bmsy proxy = 0.18; F2011/Fmsy proxy = 4.8; overfishing = yes; overfished = yes; Stock level to Bmsy = Below. Model 2. The results from the ?M-ramp? model are: SSB2011 = 10,221; SSBmsy proxy = 80,200; 1/2Bmsy proxy = 40,100; MSY = 13,786; F2011 = 0.90; Fmsy proxy = F40%msp = 0.18; B2011/Bmsy proxy = 0.13; F2011/Fmsy proxy = 5.0; overfishing = yes; overfished = yes; Stock level to Bmsy = Below.",,2011,,,,,,2011,,,BELOW,,
106,Atlantic cod - Gulf of Maine,NEFSC,2015,2014,4,2015 operationa assessment,,0.944,2014,0.186,0.186,5.075268817,5.075268817,2380.5,2014,,0.047978475,BELOW,49616,
107,Atlantic cod - Gulf of Maine,,2017,2016,,"2017 operational assessment, Mramp",,0.237,2016,0.177,0.177,1.338983051,1.338983051,"3,262",2016,,0.054627056,,"59,714",
108,Atlantic halibut - Northwestern Atlantic Coast,NEFSC,2002,2001,1,GARM Report (2002),,,,,,,,,,,0.09,,,
109,Atlantic halibut - Northwestern Atlantic Coast,NEFSC,2005,2004,1,GARM Report (2005),,,,,,,,,,,0.05,,,
110,Atlantic halibut - Northwestern Atlantic Coast,NEFSC,2008,2007,3,GARM III Report 2008,"On July 13, 2012, Fbasis was changed from ?U(exploitation rate = C/B)? to ?average F (F average across range of ages)?. The Atlantic halibut assessment uses a surplus production model, called a replacement yield model. Estimated F time series and the Fmsy estimate are both instantaneous rates and are directly comparable. F in any year can be compared to Fmsy (which is simply r/2).",0.065,2007,0.07,0.07,0.929,0.929,1300,2007,0.053,0.027,BELOW,,
111,Atlantic halibut - Northwestern Atlantic Coast,NEFSC,2012,2010,3,NEFSC CRD 12-06 (2012),"On July 13, 2012, two changes were made to the 2012.3 halibut record. Funit was changed from ?Relative F? to ?Instantaneous annual F averaged across ages?. Fbasis was changed from ?U(exploitation rate = C/B)? to ?average F (F average across range of ages)?. The Atlantic halibut assessment uses a surplus production model, called a replacement yield model. Estimated F time series and the Fmsy estimate are both instantaneous rates and are directly comparable. July 16, 2012 edits: 1. Assessment model changed from: ""Replacement Yield & NFT YPR"" to ""Surplus Production Model"". 2. Bmsy basis changed from: ""Surplus Production Model"" to ""direct estimate"". 3. Addition to comment: ""Yield per recruit analysis was used to calculate F0.1 as a proxy for Fmsy, then included in the production model by setting r=2*F0.1""",0.032,2010,0.073,0.073,0.438,0.438,1662,2010,0.068,0.034,BELOW,,
112,Atlantic halibut - Northwestern Atlantic Coast,NEFSC,2015,2014,3,2015 operationa assessment,,,,,,,,,,,,UNKNOWN,,
113,Haddock - Georges Bank,NEFSC,2002,2001,4,GARM Report (2002),,,,,,0.836,,,,,0.297,,,
114,Haddock - Georges Bank,NEFSC,2005,2004,4,GARM Report (2005),,,,,,0.94,,,,,0.47,,,
115,Haddock - Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.23,2007,0.35,0.35,0.657,0.657,315975,2007,3.978,1.989,,,
116,Haddock - Georges Bank,NEFSC,2012,2010,4,NEFSC CRD 12-06,,0.18,2010,0.39,0.39,0.462,0.462,167279,2010,2.679,1.339,ABOVE,,
117,Haddock - Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,0.159,2014,0.39,0.39,0.407692308,0.407692308,225080,2014,,2.078301016,ABOVE,108300,
118,Haddock - Georges Bank,,2017,2016,,2017 operational assessment,,0.309,2016,0.353,0.353,0.875354108,0.875354108,"290,324",2016,,2.783227241,,"104,312",
119,Haddock - Gulf of Maine,NEFSC,2002,2001,1,GARM Report (2002),,,,,,0.5,,,,0.93,0.47,,,
120,Haddock - Gulf of Maine,NEFSC,2005,2004,1,GARM Report (2005),,,,,,0.78,,,,0.55,0.27,,,
121,Haddock - Gulf of Maine,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.35,2007,0.43,0.43,0.814,0.814,5850,2007,1.983,0.992,,,
122,Haddock - Gulf of Maine,NEFSC,2012,2010,4,NEFSC CRD 12-06,Overfishing is occurring. This is a change since GARM III.,0.82,2010,0.46,0.46,1.783,1.783,2868,2010,1.17,0.585,BELOW,,
123,Haddock - Gulf of Maine,NEFSC,2014,2013,,NEFSC CRD 14-09,ASAP is new preferred model,0.39,2013,0.46,0.46,0.847826087,0.847826087,4153,2013,1.010954236,2.021908471,ABOVE,,
124,Haddock - Gulf of Maine,NEFSC,2015,2014,,2015 operationa assessment,,0.257,2014,0.468,0.468,0.549145299,0.549145299,10325,2014,,2.233398226,ABOVE,4623,
125,Haddock - Gulf of Maine,,2017,2016,,2017 operational assessment,,0.137,2016,0.455,0.455,0.301098901,0.301098901,"47,821",,,7.064706751,,"6,769",
126,Ocean pout - Northwestern Atlantic Coast,NEFSC,2002,2001,1,GARM Report (2002),,,,,,0.02,,,,1.03,0.5,,,
127,Ocean pout - Northwestern Atlantic Coast,NEFSC,2005,2004,1,GARM Report (2005),,,,,,0.01,,,,0.72,0.36,,,
128,Ocean pout - Northwestern Atlantic Coast,NEFSC,2008,,1,NEFSC CRD 08-15 (GARM III),,0.38,2007,0.76,0.76,0.5,0.5,0.48,2007,0.194,0.097,,,
129,Ocean pout - Northwestern Atlantic Coast,NEFSC,2012,2010,1,NEFSC CRD 12-06,,0.31,2010,0.76,0.76,0.408,0.408,0.41,2010,0.166,0.083,BELOW,,
130,Ocean pout - Northwestern Atlantic Coast,NEFSC,2015,2014,1,2015 operationa assessment,,0.269,2014,0.76,0.76,0.353947368,0.353947368,0.29,2015,,0.058704453,BELOW,4.94,
131,Ocean pout - Northwestern Atlantic Coast,,2017,2016,,2017 operational assessment,,0.221,,0.76,0.76,0.290789474,0.290789474,0.22,,,0.044534413,,4.94,
