YEAR,EPU,SHKGROUP,NSHARK_HAUL
2000,MAB,Prohibited,0.013853157
2000,MAB,Pelagic,0.004353849
2000,MAB,Lg Coastal,0.039580447
2001,GB,Pelagic,0.001150086
2001,GB,Prohibited,0.001150086
2001,GOM,Prohibited,0.001349073
2001,MAB,Lg Coastal,0.03211326
2001,MAB,Pelagic,0.003280387
2001,MAB,Prohibited,0.016315608
2001,MAB,Sm Coastal,0.004575276
2002,GB,Pelagic,0.002106927
2002,GB,Prohibited,0.000526732
2002,GOM,Prohibited,0.001223242
2002,GOM,Pelagic,0.000917431
2002,MAB,Pelagic,0.001081499
2002,MAB,Sm Coastal,0.000617999
2002,MAB,Lg Coastal,0.011510236
2002,MAB,Prohibited,0.002240247
2003,GB,Pelagic,0.001488649
2003,GB,Prohibited,0.000186081
2003,GOM,Pelagic,0.001921599
2003,GOM,Prohibited,0.002882398
2003,MAB,Prohibited,0.006042661
2003,MAB,Sm Coastal,0.002417064
2003,MAB,Pelagic,0.000483413
2003,MAB,Lg Coastal,0.00338389
2004,GB,Lg Coastal,0.000247862
2004,GB,Pelagic,0.00111538
2004,GOM,Pelagic,0.002813456
2004,GOM,Prohibited,0.000489297
2004,MAB,Lg Coastal,0.004860605
2004,MAB,Pelagic,0.001319307
2004,MAB,Sm Coastal,0.000555498
2004,MAB,Prohibited,0.001597056
2004,SS,Pelagic,0.011428571
2005,GB,Pelagic,0.001709177
2005,GB,Prohibited,0.000394425
2005,GB,Lg Coastal,0.000131475
2005,GOM,Prohibited,0.000839438
2005,GOM,Pelagic,0.003586691
2005,MAB,Sm Coastal,0.011635929
2005,MAB,Pelagic,0.00151773
2005,MAB,Prohibited,0.003265419
2005,MAB,Lg Coastal,0.022535989
2006,GB,Pelagic,0.000871317
2006,GB,Prohibited,0.000217829
2006,GOM,Pelagic,0.001620162
2006,GOM,Prohibited,0.001980198
2006,MAB,Prohibited,0.009357889
2006,MAB,Pelagic,0.004479841
2006,MAB,Sm Coastal,0.006271777
2006,MAB,Lg Coastal,0.027974116
2007,GB,Pelagic,0.001549187
2007,GB,Prohibited,4.84121E-05
2007,GB,Lg Coastal,4.84121E-05
2007,GOM,Pelagic,0.002664577
2007,GOM,Prohibited,0.000626959
2007,MAB,Prohibited,0.010021274
2007,MAB,Lg Coastal,0.007501959
2007,MAB,Sm Coastal,0.003303102
2007,MAB,Pelagic,0.004198858
2007,SS,Pelagic,0.004739336
2008,GB,Prohibited,0.000130011
2008,GB,Pelagic,0.00156013
2008,GOM,Lg Coastal,0.000122895
2008,GOM,Prohibited,0.000983163
2008,GOM,Pelagic,0.005038712
2008,MAB,Prohibited,0.004178721
2008,MAB,Sm Coastal,0.002667952
2008,MAB,Lg Coastal,0.005432337
2008,MAB,Pelagic,0.001221472
2008,SS,Pelagic,0.012345679
2009,GB,Prohibited,0.0001691
2009,GB,Lg Coastal,0.000281833
2009,GB,Pelagic,0.002705597
2009,GOM,Pelagic,0.006677383
2009,GOM,Prohibited,0.000741931
2009,MAB,Pelagic,0.001201257
2009,MAB,Sm Coastal,0.00169408
2009,MAB,Prohibited,0.011827758
2009,MAB,Lg Coastal,0.005205446
2009,SS,Prohibited,0.003968254
2010,GB,Pelagic,0.007052668
2010,GB,Prohibited,0.001365032
2010,GB,Lg Coastal,0.000455011
2010,GOM,Prohibited,0.001201923
2010,GOM,Pelagic,0.008413462
2010,MAB,Sm Coastal,0.000137822
2010,MAB,Prohibited,0.004444751
2010,MAB,Pelagic,0.001102574
2010,MAB,Lg Coastal,0.002239603
2010,SS,Pelagic,0.008547009
2011,GB,Pelagic,0.003004064
2011,GB,Prohibited,0.000353419
2011,GOM,Prohibited,0.002428363
2011,GOM,Pelagic,0.013275053
2011,MAB,Pelagic,0.003390484
2011,MAB,Prohibited,0.007474475
2011,MAB,Lg Coastal,0.00562512
2011,MAB,Sm Coastal,0.000115585
2011,SS,Pelagic,0.009345794
2011,SS,Prohibited,0.009345794
2012,GB,Prohibited,0.000227448
2012,GB,Pelagic,0.001046263
2012,GB,Lg Coastal,9.09794E-05
2012,GOM,Pelagic,0.011294811
2012,GOM,Prohibited,0.001309543
2012,MAB,Lg Coastal,0.002172311
2012,MAB,Prohibited,0.002948136
2012,MAB,Pelagic,0.00124132
2012,MAB,Sm Coastal,0.001396486
2012,SS,Pelagic,0.011904762
2013,GB,Prohibited,0.000479978
2013,GB,Pelagic,0.000959956
2013,GOM,Prohibited,0.002369668
2013,GOM,Pelagic,0.012440758
2013,MAB,Pelagic,0.003614676
2013,MAB,Sm Coastal,0.002289295
2013,MAB,Prohibited,0.013615278
2013,MAB,Lg Coastal,0.008313754
2014,GB,Pelagic,0.003598872
2014,GB,Prohibited,0.002918004
2014,GOM,Pelagic,0.011008628
2014,GOM,Prohibited,0.002231479
2014,MAB,Prohibited,0.008135343
2014,MAB,Pelagic,0.003882777
2014,MAB,Sm Coastal,0.008458907
2014,MAB,Lg Coastal,0.017611168
2015,GB,Lg Coastal,0.000460193
2015,GB,Pelagic,0.003681546
2015,GB,Prohibited,0.000843688
2015,GOM,Pelagic,0.008393829
2015,GOM,Prohibited,0.001701452
2015,MAB,Prohibited,0.012692844
2015,MAB,Pelagic,0.008668283
2015,MAB,Sm Coastal,0.007326763
2015,MAB,Lg Coastal,0.011299727
2015,SS,Pelagic,0.001669449
2016,GB,Prohibited,0.000723589
2016,GB,Pelagic,0.00397974
2016,GB,Lg Coastal,0.000602991
2016,GOM,Prohibited,0.000754337
2016,GOM,Pelagic,0.011817953
2016,MAB,Lg Coastal,0.011232564
2016,MAB,Pelagic,0.004291845
2016,MAB,Sm Coastal,0.024208691
2016,MAB,Prohibited,0.0152897
2016,SS,Pelagic,0.06557377
2017,GB,Pelagic,0.004441222
2017,GB,Prohibited,0.001178283
2017,GB,Lg Coastal,0.000815735
2017,GOM,Pelagic,0.02750573
2017,GOM,Prohibited,0.002500521
2017,MAB,Pelagic,0.009616755
2017,MAB,Prohibited,0.019055421
2017,MAB,Sm Coastal,0.009224961
2017,MAB,Lg Coastal,0.018449922
2018,GB,Lg Coastal,0.000356278
2018,GB,Pelagic,0.001496366
2018,GOM,Prohibited,0.000572082
2018,GOM,Pelagic,0.016590389
2018,MAB,Lg Coastal,0.013002114
2018,MAB,Prohibited,0.017600423
2018,MAB,Sm Coastal,0.003012685
2018,MAB,Pelagic,0.008509514
2018,SS,Pelagic,0.045454545
2019,GB,Pelagic,0.003455368
2019,GB,Prohibited,0.000411353
2019,GB,Lg Coastal,0.002550391
2019,GOM,Prohibited,0.002435784
2019,GOM,Pelagic,0.068866253
2019,MAB,Pelagic,0.017014959
2019,MAB,Sm Coastal,0.006109398
2019,MAB,Prohibited,0.010962658
2019,MAB,Lg Coastal,0.021297248
2019,SS,Pelagic,0.034482759
