"","Entity.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","FSSI.Stock.","ITIS.Taxon.Serial.Number","Scientific.Name","Common.Name","Stock.Area","Assessment.Year","Assessment.Month","Last.Data.Year","Update.Type","Review.Result","Assessment.Model","Model.Version","Lead.Lab","Citation","Final.Assessment.Report.1","Final.Assessment.Report.2","Point.of.Contact","Life.History.Data","Abundance.Data","Catch.Data","Assessment.Level","Assessment.Frequency","Assessment.Type","Model.Category","Catch.Input.Data","Abundance.Input.Data","Biological.Input.Data","Ecosystem.Linkage","Composition.Input.Data","F.Year","Estimated.F","F.Unit","F.Basis","Flimit","Flimit.Basis","Fmsy","Fmsy.Basis","F.Flimit","F.Fmsy","Ftarget","Ftarget.Basis","F.Ftarget","B.Year","Estimated.B","B.Unit","B.Basis","Blimit","Blimit.Basis","Bmsy","Bmsy.Basis","B.Blimit","B.Bmsy","MSY","MSY.Unit","Comments"
"11","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2008,7,2007,"Full Update","Full acceptance","ASAP","2.0.18","NEFSC","ASMFC Bluefish SASC July 9 2008",NA,NA,"JimWeinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.150000005960464,"Annual Exploitation Rate","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.788999974727631,0.788999974727631,0.170000001788139,NA,0.882000029087067,2007,153843,"mt","Spawning biomass",73525,"0.5*Bmsy",147051,"Beverton Holt",2.09200000762939,1.0460000038147,NA,NA,NA
"12","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2009,6,2008,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","ASMFC Bluefish SASC (June 2009)",NA,NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.119999997317791,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.632000029087067,0.632000029087067,NA,NA,NA,2008,163727,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",2.22699999809265,1.11300003528595,15565,NA,NA
"13","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2010,7,2009,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","NEFSC CRD 10-15 (2010)","Bluefish 2010 Stock Assessment Update",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2009,0.100000001490116,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.526000022888184,0.526000022888184,NA,NA,NA,2009,155991,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",2.12199997901917,1.06099998950958,15565,NA,NA
"14","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2011,7,2010,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","MAFMC Memo to Chris Moore, 7/6/2011. Bluefish ABC and Management Measures for 2012; and Bluefish 2011 Stock Assessment Update",NA,NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.140000000596046,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.736999988555908,0.736999988555908,NA,NA,NA,2010,140300,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.90799999237061,0.953999996185303,15565,NA,NA
"15","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2012,7,2011,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","MAFMC Memo to Chris Moore, 7/31/12. Bluefish Management Measures for 2013 and 2014; and ""Bluefish 2012 Stock Assessment Update"" by Coastal/Pelagic WG, NEFSC; NEFSC CRD13-07 by Anthony Wood.","Bluefish 2012 Stock Assessment Update",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.114000000059605,"apical F","apical F (max F at age)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.600000023841858,0.600000023841858,NA,NA,NA,2011,132890,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.807000041008,0.903999984264374,15565,NA,NA
"16","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2013,7,2012,"Full Update","Full acceptance","ASAP",NA,"NEFSC","""Bluefish 2013 Stock Assessment Update"" by Anthony Wood, NEFSC. Submitted to MAFMC SSC 9/17/13.","Bluefish 2013 Stock Assessment Update",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2012,0.0970000028610229,"Rate","Fully_Exploited_F",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.600000023841858,0.510999977588654,NA,NA,NA,2012,125808,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.71099996566772,0.856000006198883,15565,NA,NA
"17","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2014,7,2013,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","""Bluefish 2014 Stock Assessment Update"" by Anthony Wood, NEFSC. Submitted to MAFMC SSC 7/2014.","Bluefish 2014 Stock Assessment Update  Data and Model Update Through 2013",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2013,0.118000000715256,"apical F","apical F (max F at age)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.620999991893768,0.620999991893768,NA,NA,NA,2013,123716,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.68299996852875,0.841000020503998,15565,NA,NA
"18","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2015,7,2014,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","""SAW-60. Assessment Summary Report . NEFSC. 2015. (CRD 15-07)","BLUEFISH  BENCHMARK STOCK ASSESSMENT FOR 2015",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2014,0.157000005245209,"apical F","apical F (max F at age)",0.189999997615814,"Fmsy",0.189999997615814,"F35% as proxy",0.924000024795532,0.924000024795532,NA,NA,NA,2014,86534,"mt","Spawning biomass",55614,"0.5*Bmsy",111228,"SSB40%",1.55599999427795,0.777999997138977,13967,NA,NA
"19","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2019,9,2018,NA,"Full acceptance","ASAP",NA,"NEFSC",NA,"Operational Assessment of the Black Sea Bass, Scup, Bluefish, and Monkfish Stocks, Updated Through 2018",NA,"Anthony Wood",NA,NA,NA,NA,NA,"Operational",6,5,4,NA,0,4,2018,0.145999997854233,"Rate","Fully recruited F",0.18299999833107,"Fmsy",0.18299999833107,"F35% as proxy",0.797999978065491,0.797999978065491,NA,NA,NA,2018,91041,"mt","Spawning biomass",99359,"0.5*B35%",198717,"B35%",0.916000008583069,0.458000004291534,14443,"mt",NA
"20","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",172414,"Scomber scombrus","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2005,12,2004,"Benchmark","Full acceptance","ASAP",NA,NA,"SARC 42 Report (2006)","Stock Assessment Report Part A: Silver Hake, Atlantic Mackerel, & Northern Shortfin Squid",NA,NA,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fmsy",NA,NA,0.310000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SSBmsy",NA,3.5699999332428,NA,NA,NA
"21","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",172414,"Scomber scombrus","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2010,4,2008,"Full Update","Reject - Results too uncertain to be considered adequate","ADAPT VPA",NA,"NEFSC","TRAC Status Report 2010/01","Atlantic Mackerel in the Northwest Atlantic",NA,"James Weinberg",4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,2008,NA,"Annual Exploitation Rate",NA,NA,"F40%",NA,"F40% as proxy",NA,NA,NA,NA,NA,2008,NA,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",172414,"Scomber scombrus","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2018,2,2016,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","64th Northeast Regional Stock  Assessment Workshop (64th SAW) Assessment Summary Report. US Dept Commer,  Northeast Fish Sci Cent Ref Doc. 18-03","64th Northeast Regional Stock  Assessment Workshop (64th SAW)  Assessment Summary Report",NA,"Kiersten Curti",4,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.469999998807907,"Instantaneous annual F averaged across ages",NA,NA,"F40%",0.259999990463257,"F40% as proxy",NA,1.80799996852875,NA,NA,NA,2016,43519,"mt","Spawning biomass",98447,"0.5*Bmsy",196894,"SSB40%",0.44200000166893,0.221000000834465,NA,NA,NA
"23","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",172567,"Peprilus triacanthus","Butterfish","Gulf of Maine / Cape Hatteras",2009,12,2008,"Benchmark","Partial acceptance - Fishing mortality estimates","KLAMZ",NA,"NEFSC","NEFSC CRD 10-01 (2010)",NA,NA,"James Weinberg",3,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,2008,0.0199999995529652,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",172567,"Peprilus triacanthus","Butterfish","Gulf of Maine / Cape Hatteras",2014,1,2012,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","NEFSC CRD 14-03 (2014)","58th Northeast Regional Stock Assessment Workshop (58th SAW) Assessment Report",NA,"James Weinberg",3,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,2012,0.0199999995529652,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.810000002384186,".two thirds of M from Patterson",0.810000002384186,NA,0.025000000372529,0.025000000372529,NA,NA,NA,2012,79451,"mt","Spawning biomass",22808,".5 Bmsy proxy",45616,".proxy from Fproxy projection",3.48300004005432,1.74199998378754,36199,"mt",NA
"25","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",172567,"Peprilus triacanthus","Butterfish","Gulf of Maine / Cape Hatteras",2017,3,2016,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Butterfish 2017 Stock Assessment Update, Charles Adams","Butterfish 2017 Stock Assessment Update",NA,"Charles Adams",3,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,2016,0.0500000007450581,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.810000002384186,"two thirds of M from Patterson",0.810000002384186,"two thirds of M from Patterson",0.061999998986721,0.061999998986721,NA,NA,NA,2016,64376,"mt","Spawning biomass",22808,".5 Bmsy proxy",45616,".proxy from Fproxy projection",2.82299995422363,1.41100001335144,36199,"mt",NA
"26","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",82372,"Loligo pealeii","Longfin inshore squid","Georges Bank / Cape Hatteras",2011,2,2009,"Benchmark","Partial acceptance - Biomass estimates","Index Method","Average Survey Abundance","NEFSC","NEFSC CRD 11-01 (2011)","51st Northeast Regional Stock Assessment Workshop (51st SAW): Assessment Summary Report",NA,"James Weinberg",2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,54442,"Metric Tons","Total Stock Biomass",21203,"0.5*Bmsy",42405,"Avg. survey CPUE",2.56800007820129,1.28400003910065,NA,NA,NA
"27","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",82372,"Loligo pealeii","Longfin inshore squid","Georges Bank / Cape Hatteras",2017,5,2016,"Full Update","Full acceptance","Index Method","2-Year Average Survey Abundance","NEFSC","Longfin Inshore Squid (Doryteuthis (Amerigo) pealeii) Stock Assessment Update for 2017. By L. Hendrickson, NEFSC PopDy. To MAFMC 4-25-2017","Longfin Inshore Squid (Doryteuthis (Amerigo) pealeii) Stock Assessment Update for 2017",NA,"Lisa Hendrickson",2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,2009,0.259999990463257,"Catch / Two-Year Average Annualized B","Exploitation Index",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,73762,"Metric Tons","2-Year Average Survey Biomass",21203,"0.5*Bmsy",42405,"Avg. survey CPUE",3.47900009155273,1.7389999628067,NA,NA,NA
"28","Northern shortfin squid - Northwestern Atlantic Coast","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northeast Shelf","Y",82521,"Illex illecebrosus","Northern shortfin squid","Northwestern Atlantic Coast",2005,12,2004,"Benchmark","Full acceptance",NA,NA,NA,"SARC 42 Report (2006)","Stock Assessment Report Part A: Silver Hake, Atlantic Mackerel, & Northern Shortfin Squid",NA,NA,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bmsy",NA,NA,NA,NA,NA
"29","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",167687,"Centropristis striata","Black sea bass","Mid-Atlantic Coast",2006,7,2006,"Benchmark","Partial acceptance - Biomass estimates","index",NA,"NEFSC","NEFSC CRD 06-14 (2006)","43rd SAW Assessment Summary Report",NA,"Weinberg",2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330000013113022,"Fmax",NA,"proxy",NA,NA,NA,NA,NA,2006,0.800000011920929,"kg/tow","Fish > 22 cm",0.980000019073486,"historical surveys",NA,"proxy",0.815999984741211,NA,NA,NA,NA
"30","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",167687,"Centropristis striata","Black sea bass","Mid-Atlantic Coast",2009,9,2008,"Full Update","Full acceptance","SCALE","N/A","NEFSC","NEFSC CRD 09-16 (2009)","Black Sea Bass 2009 Stock Assessment Update",NA,"James Weinberg",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.280000001192093,"Average F","Average Fishing Mortality Rate for Fish Ages 2 - 7+",0.419999986886978,"Fmsy",0.419999986886978,"F40% as proxy",0.666999995708466,0.666999995708466,NA,NA,NA,2008,12882,"Metric Tons","Mature Female Biomass",6268,"0.5*Bmsy",12537,"Length-based YPR",2.0550000667572,1.02799999713898,3903,NA,NA
"31","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",167687,"Centropristis striata","Black sea bass","Mid-Atlantic Coast",2009,1,2007,"Benchmark","Full acceptance","SCALE
",NA,"NEFSC","NEFSC Memo (Thompson) April 13, 2009; NEFSC CRD 09-02 (2009)","The Northeast Data Poor Stocks  Working Group Report",NA,"Jim Weinberg",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.479999989271164,"Instantaneous annual F for age with maximum F","apical F (max F at age)",0.419999986886978,"F40%",0.419999986886978,"F40% as proxy",1.14300000667572,1.14300000667572,NA,NA,NA,2007,11478,"mt","Spawning biomass",6268,"0.5*Bmsy",12537,"B40%",1.8309999704361,0.916000008583069,3903,NA,NA
"32","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",167687,"Centropristis striata","Black sea bass","Mid-Atlantic Coast",2010,7,2009,"Full Update","Full acceptance","SCALE","2009 Average","NEFSC","NEFSC CRD 10-13 (2010)","Black Sea Bass 2010 Stock Assessment Update",NA,"James Weinberg",2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,2009,0.28999999165535,"Annual Exploitation Rate","average F (F average across range of ages)",0.419999986886978,"F40%",0.419999986886978,"F40% as proxy",0.689999997615814,0.689999997615814,NA,NA,NA,2009,12978,"mt","Spawning biomass",6268,"0.5*Bmsy",12537,"Length-based YPR",2.07100009918213,1.0349999666214,3903,NA,NA
"33","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",167687,"Centropristis striata","Black sea bass","Mid-Atlantic Coast",2011,6,2010,"Partial Update","Accept previous approach, remand new attempt","SCALE",NA,"NEFSC","MAFMC Memo to C. Moore, 6/27/11. Black Sea Bass Management Measures for 2012; & BSB 2012 Projection Update","Black Sea Bass Assessment Summary",NA,"James  R.Weinberg",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.409999996423721,"Annual Exploitation Rate","average F (F average across range of ages)",0.419999986886978,"F40%",0.419999986886978,"F40% as proxy",0.976000010967255,0.976000010967255,NA,NA,NA,2010,13926,NA,"Spawning biomass",6268,"0.5*Bmsy",12537,"Length-based YPR",2.22199988365173,1.11099994182587,3903,NA,NA
