"","Time","Region","Value","Units","Var","Source"
"36",2017,"MA",9.663382971939,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"37",2018,"MA",9.63974680363201,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"38",1982,"NE",6.97253985489526,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"39",1983,"NE",6.76823655091883,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"40",1984,"NE",7.37379060720251,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"41",1985,"NE",7.06692568792551,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"42",1986,"NE",7.4232147831958,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"43",1987,"NE",7.56405432598653,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"44",1988,"NE",8.53247463226559,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"45",1989,"NE",7.29484111264035,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"46",1990,"NE",7.63687790617763,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"47",1991,"NE",6.58178608973765,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"48",1992,"NE",6.81357040183267,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"49",1993,"NE",7.17194057871981,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"50",1994,"NE",5.28798983682747,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"51",1995,"NE",6.87601850728853,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"52",1996,"NE",6.89488424139165,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"53",1997,"NE",6.92319725175952,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"54",1998,"NE",5.96995121129951,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"55",1999,"NE",7.58969317637582,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"56",2000,"NE",7.56387804706268,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"57",2001,"NE",7.6061653317615,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"58",2002,"NE",7.72722599295971,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"59",2003,"NE",7.5386477928988,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"60",2004,"NE",6.88887464714695,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"61",2005,"NE",7.06440958877849,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"62",2006,"NE",6.125160441526,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"63",2007,"NE",7.29813701769293,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"64",2008,"NE",8.4865995656153,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"65",2009,"NE",8.98679138868587,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"66",2010,"NE",8.48621542848246,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"67",2011,"NE",8.52007997478978,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"68",2012,"NE",8.97970270296373,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"69",2013,"NE",9.57888380444773,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"70",2014,"NE",9.56490104932042,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"71",2015,"NE",8.66782699101043,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"72",2016,"NE",9.00090545296589,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"73",2017,"NE",8.33378792351706,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"74",2018,"NE",7.81384444691843,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
