"","Time","Var","EPU","Value"
"96",2009,"cumulative intensity","GOM",0
"97",2010,"cumulative intensity","GOM",0
"98",2011,"cumulative intensity","GOM",0
"99",2012,"cumulative intensity","GOM",0
"100",2013,"cumulative intensity","GOM",0
"101",2014,"cumulative intensity","GOM",0
"102",2015,"cumulative intensity","GOM",0
"103",2016,"cumulative intensity","GOM",0
"104",2017,"cumulative intensity","GOM",0
"105",2018,"cumulative intensity","GOM",0
"106",2019,"cumulative intensity","GOM",0
"107",2020,"cumulative intensity","GOM",0
"108",2021,"cumulative intensity","GOM",0
"109",1982,"maximum intensity","GOM",0
"110",1983,"maximum intensity","GOM",0
"111",1984,"maximum intensity","GOM",0
"112",1985,"maximum intensity","GOM",0
"113",1986,"maximum intensity","GOM",0
"114",1988,"maximum intensity","GOM",0
"115",1989,"maximum intensity","GOM",0
"116",1990,"maximum intensity","GOM",0
"117",1991,"maximum intensity","GOM",0
"118",1993,"maximum intensity","GOM",0
"119",1994,"maximum intensity","GOM",0
"120",1995,"maximum intensity","GOM",0
"121",1996,"maximum intensity","GOM",0
"122",1999,"maximum intensity","GOM",0
"123",2000,"maximum intensity","GOM",0
"124",2001,"maximum intensity","GOM",0
"125",2002,"maximum intensity","GOM",0
"126",2003,"maximum intensity","GOM",0
"127",2004,"maximum intensity","GOM",0
"128",2005,"maximum intensity","GOM",0
"129",2006,"maximum intensity","GOM",0
"130",2007,"maximum intensity","GOM",0
"131",2008,"maximum intensity","GOM",0
"132",2009,"maximum intensity","GOM",0
"133",2010,"maximum intensity","GOM",0
"134",2011,"maximum intensity","GOM",0
"135",2012,"maximum intensity","GOM",0
"136",2013,"maximum intensity","GOM",0
"137",2014,"maximum intensity","GOM",0
"138",2015,"maximum intensity","GOM",0
"139",2016,"maximum intensity","GOM",0
"140",2017,"maximum intensity","GOM",0
"141",2018,"maximum intensity","GOM",0
"142",2019,"maximum intensity","GOM",0
"143",2020,"maximum intensity","GOM",0
"144",2021,"maximum intensity","GOM",0
"145",1982,"cumulative intensity","MAB",0
"146",1983,"cumulative intensity","MAB",0
"147",1984,"cumulative intensity","MAB",0
"148",1985,"cumulative intensity","MAB",0
"149",1986,"cumulative intensity","MAB",0
"150",1988,"cumulative intensity","MAB",0
"151",1989,"cumulative intensity","MAB",0
"152",1990,"cumulative intensity","MAB",0
"153",1991,"cumulative intensity","MAB",0
"154",1993,"cumulative intensity","MAB",0
"155",1994,"cumulative intensity","MAB",0
"156",1995,"cumulative intensity","MAB",0
"157",1996,"cumulative intensity","MAB",0
"158",1999,"cumulative intensity","MAB",0
"159",2000,"cumulative intensity","MAB",0
"160",2001,"cumulative intensity","MAB",0
"161",2002,"cumulative intensity","MAB",0
"162",2003,"cumulative intensity","MAB",0
"163",2004,"cumulative intensity","MAB",0
"164",2005,"cumulative intensity","MAB",0
"165",2006,"cumulative intensity","MAB",0
"166",2007,"cumulative intensity","MAB",0
"167",2008,"cumulative intensity","MAB",0
"168",2009,"cumulative intensity","MAB",0
"169",2010,"cumulative intensity","MAB",0
"170",2011,"cumulative intensity","MAB",0
"171",2012,"cumulative intensity","MAB",0
"172",2013,"cumulative intensity","MAB",0
"173",2014,"cumulative intensity","MAB",0
"174",2015,"cumulative intensity","MAB",0
"175",2016,"cumulative intensity","MAB",0
"176",2017,"cumulative intensity","MAB",0
"177",2018,"cumulative intensity","MAB",0
"178",2019,"cumulative intensity","MAB",0
"179",2020,"cumulative intensity","MAB",0
"180",2021,"cumulative intensity","MAB",0
"181",1982,"maximum intensity","MAB",0
"182",1983,"maximum intensity","MAB",0
"183",1984,"maximum intensity","MAB",0
"184",1985,"maximum intensity","MAB",0
"185",1986,"maximum intensity","MAB",0
"186",1988,"maximum intensity","MAB",0
"187",1989,"maximum intensity","MAB",0
"188",1990,"maximum intensity","MAB",0
"189",1991,"maximum intensity","MAB",0
"190",1993,"maximum intensity","MAB",0
"191",1994,"maximum intensity","MAB",0
"192",1995,"maximum intensity","MAB",0
"193",1996,"maximum intensity","MAB",0
"194",1999,"maximum intensity","MAB",0
"195",2000,"maximum intensity","MAB",0
"196",2001,"maximum intensity","MAB",0
"197",2002,"maximum intensity","MAB",0
"198",2003,"maximum intensity","MAB",0
"199",2004,"maximum intensity","MAB",0
"200",2005,"maximum intensity","MAB",0
"201",2006,"maximum intensity","MAB",0
"202",2007,"maximum intensity","MAB",0
"203",2008,"maximum intensity","MAB",0
"204",2009,"maximum intensity","MAB",0
"205",2010,"maximum intensity","MAB",0
"206",2011,"maximum intensity","MAB",0
"207",2012,"maximum intensity","MAB",0
"208",2013,"maximum intensity","MAB",0
"209",2014,"maximum intensity","MAB",0
"210",2015,"maximum intensity","MAB",0
"211",2016,"maximum intensity","MAB",0
"212",2017,"maximum intensity","MAB",0
"213",2018,"maximum intensity","MAB",0
"214",2019,"maximum intensity","MAB",0
"215",2020,"maximum intensity","MAB",0
"216",2021,"maximum intensity","MAB",0
