Island,Species,Year,Productivity,Amphipod,Euphausiid,Bluefish,Hake,Pollock,Lumpfish,Other Fish,Other Invertebrate,Herring,Sandlance,Butterfish,Unknown Fish,Unknown Invertebrate,Silverside,Three-spined Stickleback,Mackerel,Sum
MR,COTE,2015,1.32,42,4,0,158,8,0,3,2,6,261,11,37,2,0,12,0,546
MR,COTE,2016,1.03,14,3,0,341,14,0,12,12,5,14,88,110,10,0,13,0,636
MR,COTE,2017,1.58,14,6,0,282,30,0,5,43,51,432,9,66,2,0,7,0,947
MR,COTE,2018,0.54,57,5,0,232,24,1,52,51,11,9,135,96,2,0,19,0,694
OGI,COTE,2003,2.09,5,1,19,1081,296,5,0,7,713,2,25,406,0,0,7,0,2567
OGI,COTE,2004,1.45,4,1,14,836,6,51,3,16,871,5,71,731,20,0,20,1,2650
OGI,COTE,2005,0.67,2,4,0,363,7,15,5,5,125,8,33,78,3,0,7,0,655
OGI,COTE,2006,1.13,6,0,1,670,11,151,11,102,627,1,48,103,2,3,5,0,1741
OGI,COTE,2007,1.71,81,4,20,560,28,48,31,25,314,49,33,214,19,1,3,0,1430
OGI,COTE,2008,0.62,60,10,2,222,9,45,23,11,82,100,19,100,6,0,9,0,698
OGI,COTE,2009,1.68,4,4,6,297,19,11,12,4,703,10,329,198,1,0,24,0,1622
OGI,COTE,2010,2.09,190,2,0,939,26,205,30,26,478,72,185,309,8,0,99,157,2726
OGI,COTE,2011,1.6,18,0,0,524,16,0,0,1,141,29,129,117,4,0,9,0,988
OGI,COTE,2012,1.42,73,0,4,170,17,2,6,120,613,70,33,131,30,0,4,2,1275
OGI,COTE,2013,1.15,14,0,0,385,11,0,4,10,245,16,14,188,17,1,2,1,908
OGI,COTE,2014,1.42,0,0,0,147,13,0,4,4,988,19,1,215,0,0,0,0,1391
OGI,COTE,2015,1.36,10,7,0,480,21,3,11,40,538,186,15,198,14,5,15,2,1545
OGI,COTE,2016,1.26,23,8,0,325,20,0,11,15,421,66,16,252,10,0,3,4,1174
OGI,COTE,2017,1.45,5,0,0,378,10,0,7,14,798,127,13,350,7,1,1,0,1711
OGI,COTE,2018,1.14,1,0,1,297,12,0,8,2,566,74,69,318,2,2,1,0,1353
PINWR,COTE,1999,,0,0,0,9,10,0,0,1,36,274,1,112,0,0,0,0,443
PINWR,COTE,2000,0.39,0,0,0,56,3,0,0,0,41,401,0,70,0,0,0,0,571
PINWR,COTE,2001,0.44,1,0,0,124,0,0,0,1,46,247,0,17,0,0,0,0,436
PINWR,COTE,2002,1.55,4,0,0,100,16,9,3,87,403,1363,2,161,0,3,1,3,2155
PINWR,COTE,2003,1.1,11,4,0,136,25,3,1,7,195,271,4,145,13,0,5,1,821
PINWR,COTE,2004,0.71,0,0,1,163,16,6,1,3,498,353,15,176,0,0,1,0,1233
PINWR,COTE,2005,1.09,22,107,0,299,16,2,1,23,86,178,31,51,74,0,1,1,892
PINWR,COTE,2006,0.4,0,3,1,35,5,2,0,17,184,146,1,63,1,0,0,0,458
PINWR,COTE,2007,2.03,0,12,30,288,3,1,7,0,219,205,0,41,6,0,0,0,812
PINWR,COTE,2008,1.07,21,9,2,51,2,7,34,285,275,729,12,209,61,0,3,0,1700
PINWR,COTE,2009,0.79,0,0,1,14,3,0,1,19,135,348,36,146,3,0,2,0,708
PINWR,COTE,2010,2.08,13,79,167,146,2,4,29,12,289,987,115,545,28,1,8,45,2470
PINWR,COTE,2011,,,,,,,,,,,,,,,,,,
PINWR,COTE,2012,2.05,0,4,0,2,25,0,0,1,1118,516,1,14,0,25,0,0,1706
PINWR,COTE,2013,1.25,0,0,0,130,4,0,1,92,260,468,1,96,68,0,0,0,1120
PINWR,COTE,2014,1.27,0,1,0,16,1,0,3,0,269,797,0,223,0,0,0,0,1310
PINWR,COTE,2015,1.53,2,0,0,147,1,0,6,109,146,1412,2,446,16,1,2,0,2290
PINWR,COTE,2016,1.5,0,0,0,141,12,0,18,178,241,463,10,367,1,9,2,0,1442
PINWR,COTE,2017,1.68,0,0,0,30,13,0,29,28,449,830,5,557,1,8,5,0,1955
PINWR,COTE,2018,1.28,1,2,0,99,6,0,62,28,486,798,123,206,2,12,2,0,1827
SINWR,COTE,1992,1.5,0,1,2,251,45,1,0,15,365,34,22,238,0,0,1,0,975
SINWR,COTE,1993,1.53,14,0,0,246,0,0,0,13,294,31,4,106,0,0,4,0,712
SINWR,COTE,1994,0.79,,,,,,,,,,,,,,,,,
SINWR,COTE,1995,1.16,,,,,,,,,,,,,,,,,
SINWR,COTE,1996,0.59,0,20,0,103,1,0,0,6,7,2,48,40,0,0,5,0,232
SINWR,COTE,1997,1.08,,,,,,,,,,,,,,,,,
SINWR,COTE,1998,0.87,,,,,,,,,,,,,,,,,
SINWR,COTE,1999,0.96,,,,,,,,,,,,,,,,,
SINWR,COTE,2000,0.77,,,,,,,,,,,,,,,,,
SINWR,COTE,2001,1,,,,,,,,,,,,,,,,,
SINWR,COTE,2002,1.16,,,,,,,,,,,,,,,,,
SINWR,COTE,2003,1.01,23,113,0,232,11,1,1,5,130,2,9,55,6,0,4,0,592
SINWR,COTE,2004,0.72,8,1107,0,142,1,0,3,10,47,13,49,13,4,0,25,1,1423
SINWR,COTE,2005,0.58,1,1079,0,205,3,2,5,12,0,2,8,22,21,0,26,1,1387
SINWR,COTE,2006,0.93,1,384,0,117,4,8,2,2,197,5,5,49,2,0,2,0,778
SINWR,COTE,2007,0.66,1,268,0,36,0,0,0,5,15,6,2,9,11,0,4,0,357
SINWR,COTE,2008,1.11,12,348,0,86,5,8,30,8,123,86,10,84,40,1,10,0,851
SINWR,COTE,2009,0.74,0,0,0,6,8,0,1,2,263,6,26,69,2,0,6,0,389
SINWR,COTE,2010,0.53,3,0,2,91,4,5,1,1,22,3,178,51,1,0,27,0,389
SINWR,COTE,2011,0.77,0,217,0,35,21,1,8,6,38,2,66,21,2,0,4,0,421
SINWR,COTE,2012,0.83,19,15,0,66,15,0,4,14,239,7,18,59,2,0,1,0,459
SINWR,COTE,2013,0.28,3,1,3,86,9,0,3,5,57,0,18,30,7,0,0,0,222
SINWR,COTE,2014,1.03,30,121,1,201,25,0,7,17,120,29,4,145,2,0,2,1,705
SINWR,COTE,2015,1.17,4,1,0,129,7,0,1,0,120,330,2,112,3,1,2,0,712
SINWR,COTE,2016,0.54,12,176,0,240,6,1,2,22,20,8,15,31,24,0,13,0,570
SINWR,COTE,2017,1.15,6,20,0,186,2,1,27,13,199,97,5,158,12,0,3,0,729
SINWR,COTE,2018,0.48,20,18,0,185,3,0,81,26,28,30,84,47,4,0,12,0,538
STI,COTE,1988,0.99,0,0,0,56,0,0,0,7,15,111,0,36,0,0,0,0,225
STI,COTE,1989,0.24,0,3,8,281,1,15,3,13,121,230,0,106,0,0,0,0,781
STI,COTE,1990,1.5,0,0,0,23,0,1,0,0,42,43,1,28,0,0,0,0,138
STI,COTE,1991,,0,0,0,51,5,1,0,1,70,137,0,41,0,0,0,0,306
STI,COTE,1992,,,,,,,,,,,,,,,,,,
STI,COTE,1993,1.3,0,0,0,88,1,0,0,0,16,285,0,98,0,0,0,0,488
STI,COTE,1994,1.87,36,0,13,440,11,30,0,20,61,578,8,142,0,1,0,0,1340
STI,COTE,1995,2.31,19,0,0,788,44,16,0,28,557,626,6,291,0,0,2,0,2377
STI,COTE,1996,1.54,25,4,1,747,41,10,8,57,194,1057,336,676,0,0,6,5,3167
STI,COTE,1997,2.11,2,0,1,823,14,9,0,22,107,958,38,255,0,0,8,0,2237
STI,COTE,1998,1.33,28,18,0,624,56,0,2,176,248,1075,16,164,0,0,3,5,2415
STI,COTE,1999,1.47,9,2,3,378,33,1,1,36,185,527,20,364,0,0,11,2,1572
STI,COTE,2000,1.1,10,0,0,332,23,4,0,73,135,555,5,133,0,3,4,0,1277
STI,COTE,2001,1.2,13,0,8,280,16,7,3,32,611,295,21,289,61,1,11,6,1654
STI,COTE,2002,,0,0,0,1,0,0,0,0,5,19,0,4,0,0,0,0,29
STI,COTE,2003,,0,0,0,76,16,0,0,0,16,37,1,18,0,0,0,0,164
STI,COTE,2004,,0,0,0,41,0,0,0,6,6,13,0,7,0,0,0,0,73
STI,COTE,2005,1.02,0,0,4,159,20,3,0,5,8,18,14,17,5,0,2,0,255
STI,COTE,2006,1,0,4,0,262,8,8,2,24,73,37,19,68,377,1,5,0,888
STI,COTE,2007,1.79,123,10,13,285,35,4,33,33,305,343,13,437,64,0,8,1,1707
STI,COTE,2008,1,53,50,1,255,11,19,2,10,439,95,10,204,11,0,26,0,1186
STI,COTE,2009,1.74,0,3,0,74,11,0,1,1,313,63,39,226,13,0,6,0,750
STI,COTE,2010,1.73,4,0,0,115,0,1,6,5,268,78,32,241,15,0,5,0,770
STI,COTE,2011,1.7,1,1,0,214,6,0,3,11,108,45,89,46,0,0,5,0,529
STI,COTE,2012,2.04,1,0,0,57,0,0,0,3,352,106,15,38,1,0,0,0,573
STI,COTE,2013,1.41,3,4,7,143,3,0,0,1,142,458,11,82,3,0,0,0,857
STI,COTE,2014,1.29,0,0,0,39,4,0,0,0,63,172,2,202,3,0,1,0,486
STI,COTE,2015,0.89,0,0,0,98,2,0,1,13,28,207,6,16,3,0,0,0,374
STI,COTE,2016,1,14,1,0,90,3,0,0,8,24,169,2,51,0,0,0,0,362
STI,COTE,2017,0.63,95,1,0,53,4,0,2,11,14,54,8,120,17,0,0,0,379
STI,COTE,2018,0.53,56,0,0,63,1,0,7,3,119,252,57,250,0,0,2,0,810
,,,,,,,,,,,,,,,,,,,,160439
