"","Time","Var","Value","EPU","Units"
"51","2009","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",2360325.56218946,"MAB","2019 Constant Dollars"
"52","2010","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",2823437.55363404,"MAB","2019 Constant Dollars"
"53","2011","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",1112812.40527805,"MAB","2019 Constant Dollars"
"54","2012","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",577226.999075376,"MAB","2019 Constant Dollars"
"55","2013","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",933841.457952274,"MAB","2019 Constant Dollars"
"56","2014","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",442257.176914187,"MAB","2019 Constant Dollars"
"57","2015","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",550704.742770306,"MAB","2019 Constant Dollars"
"58","2016","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",1170612.93581255,"MAB","2019 Constant Dollars"
"59","2017","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",1333711.02159373,"MAB","2019 Constant Dollars"
"60","2018","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",840235.738437399,"MAB","2019 Constant Dollars"
"61","2008","All Other (Top 5 Species Revenue from Wind Development Areas)",7651673.54188436,"NE","2019 Constant Dollars"
"62","2009","All Other (Top 5 Species Revenue from Wind Development Areas)",6164792.04973697,"NE","2019 Constant Dollars"
"63","2010","All Other (Top 5 Species Revenue from Wind Development Areas)",7010483.40680251,"NE","2019 Constant Dollars"
"64","2011","All Other (Top 5 Species Revenue from Wind Development Areas)",5114045.78746031,"NE","2019 Constant Dollars"
"65","2012","All Other (Top 5 Species Revenue from Wind Development Areas)",5002523.1461356,"NE","2019 Constant Dollars"
"66","2013","All Other (Top 5 Species Revenue from Wind Development Areas)",7759249.533875,"NE","2019 Constant Dollars"
"67","2014","All Other (Top 5 Species Revenue from Wind Development Areas)",6889345.27800599,"NE","2019 Constant Dollars"
"68","2015","All Other (Top 5 Species Revenue from Wind Development Areas)",5769098.55553864,"NE","2019 Constant Dollars"
"69","2016","All Other (Top 5 Species Revenue from Wind Development Areas)",9013581.58222373,"NE","2019 Constant Dollars"
"70","2017","All Other (Top 5 Species Revenue from Wind Development Areas)",6227201.89022164,"NE","2019 Constant Dollars"
"71","2018","All Other (Top 5 Species Revenue from Wind Development Areas)",5589455.01371641,"NE","2019 Constant Dollars"
"72","2008","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",55794.9783976048,"NE","2019 Constant Dollars"
"73","2009","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",133198.437358835,"NE","2019 Constant Dollars"
"74","2010","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",277043.163501136,"NE","2019 Constant Dollars"
"75","2011","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",103239.668970891,"NE","2019 Constant Dollars"
"76","2012","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",115698.450294278,"NE","2019 Constant Dollars"
"77","2013","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",276216.840639908,"NE","2019 Constant Dollars"
"78","2014","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",134079.931604142,"NE","2019 Constant Dollars"
"79","2015","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",37914.6927570002,"NE","2019 Constant Dollars"
"80","2016","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",384624.698660834,"NE","2019 Constant Dollars"
"81","2017","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",21450.4953535534,"NE","2019 Constant Dollars"
"82","2018","Atlantic Herring (Top 5 Species Revenue from Wind Development Areas)",30606.0952586585,"NE","2019 Constant Dollars"
"83","2008","Monkfish (Top 5 Species Revenue from Wind Development Areas)",916890.510494214,"NE","2019 Constant Dollars"
"84","2009","Monkfish (Top 5 Species Revenue from Wind Development Areas)",722809.808383269,"NE","2019 Constant Dollars"
"85","2010","Monkfish (Top 5 Species Revenue from Wind Development Areas)",719916.641379311,"NE","2019 Constant Dollars"
"86","2011","Monkfish (Top 5 Species Revenue from Wind Development Areas)",1022450.77059539,"NE","2019 Constant Dollars"
"87","2012","Monkfish (Top 5 Species Revenue from Wind Development Areas)",1354027.6595636,"NE","2019 Constant Dollars"
"88","2013","Monkfish (Top 5 Species Revenue from Wind Development Areas)",747538.377683857,"NE","2019 Constant Dollars"
"89","2014","Monkfish (Top 5 Species Revenue from Wind Development Areas)",711037.354372121,"NE","2019 Constant Dollars"
"90","2015","Monkfish (Top 5 Species Revenue from Wind Development Areas)",639643.430220251,"NE","2019 Constant Dollars"
"91","2016","Monkfish (Top 5 Species Revenue from Wind Development Areas)",644361.757392616,"NE","2019 Constant Dollars"
"92","2017","Monkfish (Top 5 Species Revenue from Wind Development Areas)",603558.546822507,"NE","2019 Constant Dollars"
"93","2018","Monkfish (Top 5 Species Revenue from Wind Development Areas)",513534.509901621,"NE","2019 Constant Dollars"
"94","2008","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",5922964.79998025,"NE","2019 Constant Dollars"
"95","2009","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",4318409.32635281,"NE","2019 Constant Dollars"
"96","2010","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",4539806.63547727,"NE","2019 Constant Dollars"
"97","2011","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",6745209.92699674,"NE","2019 Constant Dollars"
"98","2012","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",4000109.16717646,"NE","2019 Constant Dollars"
"99","2013","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",2077834.36031166,"NE","2019 Constant Dollars"
"100","2014","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",3195067.46338694,"NE","2019 Constant Dollars"
"101","2015","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",2538823.20791822,"NE","2019 Constant Dollars"
"102","2016","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",2730356.71627895,"NE","2019 Constant Dollars"
"103","2017","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",1136336.55877517,"NE","2019 Constant Dollars"
"104","2018","Sea Scallop (Top 5 Species Revenue from Wind Development Areas)",658308.850401654,"NE","2019 Constant Dollars"
"105","2008","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",453205.279987126,"NE","2019 Constant Dollars"
"106","2009","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",384988.597457766,"NE","2019 Constant Dollars"
"107","2010","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",419905.135114942,"NE","2019 Constant Dollars"
"108","2011","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",271191.655407985,"NE","2019 Constant Dollars"
"109","2012","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",316054.704269998,"NE","2019 Constant Dollars"
"110","2013","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",252748.829018945,"NE","2019 Constant Dollars"
"111","2014","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",286795.487751932,"NE","2019 Constant Dollars"
"112","2015","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",230971.468997971,"NE","2019 Constant Dollars"
"113","2016","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",317799.729138578,"NE","2019 Constant Dollars"
"114","2017","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",351408.653784666,"NE","2019 Constant Dollars"
"115","2018","Silver Hake (Top 5 Species Revenue from Wind Development Areas)",387311.490475457,"NE","2019 Constant Dollars"
"116","2008","Skates (Top 5 Species Revenue from Wind Development Areas)",312177.059027321,"NE","2019 Constant Dollars"
"117","2009","Skates (Top 5 Species Revenue from Wind Development Areas)",413764.504218969,"NE","2019 Constant Dollars"
"118","2010","Skates (Top 5 Species Revenue from Wind Development Areas)",345067.205480138,"NE","2019 Constant Dollars"
"119","2011","Skates (Top 5 Species Revenue from Wind Development Areas)",500878.308304519,"NE","2019 Constant Dollars"
"120","2012","Skates (Top 5 Species Revenue from Wind Development Areas)",666981.60662082,"NE","2019 Constant Dollars"
"121","2013","Skates (Top 5 Species Revenue from Wind Development Areas)",639380.507766215,"NE","2019 Constant Dollars"
"122","2014","Skates (Top 5 Species Revenue from Wind Development Areas)",795651.937126502,"NE","2019 Constant Dollars"
"123","2015","Skates (Top 5 Species Revenue from Wind Development Areas)",526269.269292325,"NE","2019 Constant Dollars"
"124","2016","Skates (Top 5 Species Revenue from Wind Development Areas)",385692.426361333,"NE","2019 Constant Dollars"
"125","2017","Skates (Top 5 Species Revenue from Wind Development Areas)",242354.641840086,"NE","2019 Constant Dollars"
"126","2018","Skates (Top 5 Species Revenue from Wind Development Areas)",289386.814339122,"NE","2019 Constant Dollars"
