year,REGION,Council,STATEABBR,GEO_NAME,MAPNAME,geography,TOTPOP,personal_disruption,pop_composition,poverty,labor_force_str,housing_characteristics,housing_disrupt,retiree_migration,urban_sprawl_index,RecEng,RecRel,ComEng,ComRel,ComEng_ct,ComRel_ct,RecEng_ct,RecRel_ct,personal_disruption_rank,pop_composition_rank,poverty_rank,labor_force_str_rank,housing_characteristics_rank,housing_disrupt_rank,retiree_migration_rank,urban_sprawl_index_rank
2022,Northeast,Mid-Atlantic,NJ,"Point Pleasant Beach, NJ",Point Pleasant Beach,"Point Pleasant Beach borough, New Jersey","4,786",0.08,-0.127,-0.565,-0.229,-0.657,1.208,0.216,0.584,7.457,3.896,4.455,1.987,high,high,high,high,med,low,low,low,low,high,med,med high
2022,Northeast,New England,MA,"Chatham, MA",Chatham,"Chatham CDP, Massachusetts","1,637",-0.886,-0.848,-1,2.157,-0.189,2.3,2.309,0.302,0.11,0.338,4.404,5.002,high,high,med,med,low,low,low,high,low,high,high,med
2022,Northeast,Mid-Atlantic,NY,"Hampton Bays/Shinnecock, NY",Hampton Bays,"Hampton Bays CDP, New York","16,939",-0.305,2.084,-0.348,-0.115,-0.816,1.759,0.015,0.506,5.348,0.495,4.097,0.226,high,med,high,med,low,high,low,low,low,high,med,med high
2022,Northeast,New England,ME,"Stonington, ME",Stonington,"Stonington town, Hancock County, Maine",826,-0.005,-0.666,-0.15,0.212,0.812,1.534,0.199,-1.591,-0.232,-0.163,3.773,10.002,high,high,low,low,low,low,low,med,med high,high,med,low
2022,Northeast,Mid-Atlantic,NJ,"Barnegat Light, NJ",Barnegat Light,"Barnegat Light borough, New Jersey",435,-0.647,-0.882,-0.988,2.201, NA,0.521,2.297,0.502,4.969,24.375,3.606,18.175,high,high,high,high,low,low,low,high,NA,med high,high,med high
2022,Northeast,New England,ME,"Friendship, ME",Friendship,"Friendship town, Knox County, Maine","1,145",-0.3,-0.657,-0.163,0.902,0.679,-0.433,1.242,-1.125,-0.232,-0.163,3.107,4.573,high,high,low,low,low,low,low,med high,med high,low,high,low
2022,Northeast,Mid-Atlantic,NY,"Bronx/City Island, NY",Bronx,"Bronx borough, Bronx County, New York","1,443,229",1.748,3.281,1.848,-0.045,0.207,0.29,-0.547,3.727,0.204,-0.162,3.037,-0.12,high,low,med,low,high,high,high,low,med,med,low,high
2022,Northeast,New England,RI,"South Kingstown/Kingston/Wakefield-Peacedale, RI",South Kingstown,"South Kingstown town, Washington County, Rhode Island","31,928",-0.377,-0.536,-0.516,0.274,0.039,0.022,0.434,-0.187,1.225,-0.066,2.982,-0.024,high,low,high,low,low,low,low,med,med,med,med,low
2022,Northeast,New England,ME,"Steuben, ME",Steuben,"Steuben town, Washington County, Maine","1,248",-0.081,-0.564,-0.542,-0.278,1.632,-0.527,-0.363,-2.222,-0.232,-0.163,2.939,2.527,high,high,low,low,low,low,low,low,high,low,low,low
2022,Northeast,Mid-Atlantic,VA,"Newport News, VA",Newport News,"Newport News city, Virginia","185,118",0.227,-0.087,0.365,-0.598,0.547,-0.435,-0.717,-0.269,2.064,-0.143,2.301,-0.101,high,low,high,low,med,low,med,low,med high,low,low,low
2022,Northeast,New England,ME,"Kittery/Kittery Point, ME",Kittery,"Kittery town, York County, Maine","10,103",-0.642,-0.427,-0.346,0.182,0.182,0.069,0.284,-0.294,-0.092,-0.131,2.138,0.113,high,med,low,low,low,low,low,med,med,med,med,low
2022,Northeast,New England,ME,"Vinalhaven, ME",Vinalhaven,"Vinalhaven town, Knox County, Maine",981,-1.019,-0.742,-0.818,1.188,0.726,1.001,1.321,-1.259,-0.232,-0.163,2.135,5.074,high,high,low,low,low,low,low,high,med high,high,high,low
2022,Northeast,New England,RI,"North Kingstown/Saunderstown, RI",North Kingstown,"North Kingstown town, Washington County, Rhode Island","27,719",-0.636,-0.431,-0.329,-0.452,0.047,-0.242,-0.319,-0.103,0.415,-0.106,2.118,-0.006,high,low,med,low,low,low,low,low,med,low,low,low
2022,Northeast,New England,ME,"Kennebunkport, ME",Kennebunkport,"Kennebunkport CDP, Maine","1,318",-0.429,-0.682,-0.397,0.776, NA,0.792,1.032,0.092,0.192,0.244,2.102,2.171,high,high,med,med,low,low,low,med high,NA,med high,high,med
2022,Northeast,Mid-Atlantic,VA,"Hampton, VA",Hampton,"Hampton city, Virginia","137,217",0.152,-0.241,0.22,-0.41,0.438,-0.375,-0.433,-0.281,2.101,-0.132,2.059,-0.092,high,low,high,low,med,low,med,low,med,low,low,low
2022,Southeast,Mid-Atlantic,NC,"Wanchese, NC",Wanchese,"Wanchese CDP, North Carolina","2,005",-0.616,-0.188,-0.647,-0.882,1.512,-0.509,-0.526,-1.517,3.051,4.83,2.014,1.955,high,high,high,high,low,low,low,low,high,low,low,low
2022,Northeast,New England,NH,"Newington, NH",Newington,"Newington town, Rockingham County, New Hampshire",964,-0.415,-0.988,-0.699,0.091,-1.597,0.7,0.422,0.313,0.348,1.249,1.947,5.158,high,high,med,high,low,low,low,med,low,med high,med,med
2022,Northeast,New England,MA,"Scituate/North Scituate, MA",Scituate,"Scituate town, Plymouth County, Massachusetts","19,069",-0.902,-0.617,-0.791,-0.331,-0.887,0.498,-0.219,0.534,0.241,-0.097,1.905,0.062,high,med,med,low,low,low,low,low,low,med,low,med high
2022,Northeast,New England,MA,"Fairhaven, MA",Fairhaven,"Fairhaven town, Bristol County, Massachusetts","15,899",-0.461,-0.473,-0.277,-0.031,0.433,0.155,0.203,0.435,1.295,0.062,1.896,0.09,high,med,high,med,low,low,low,low,med,med,med,med
2022,Northeast,New England,NH,"Portsmouth, NH",Portsmouth,"Portsmouth city, New Hampshire","22,138",-0.697,-0.521,-0.471,-0.653,-0.132,1.074,-0.613,0.324,0.3,-0.104,1.89,0.024,high,med,med,low,low,low,low,low,low,high,low,med
2022,Northeast,New England,ME,"Beals, ME",Beals,"Beals town, Washington County, Maine",513,-0.281,-0.93,-0.049,-0.325,1.09,0.011,-0.213,-2.318,-0.232,-0.163,1.863,6.727,high,high,low,low,low,low,low,low,high,med,low,low
2022,Northeast,New England,ME,"Jonesport, ME",Jonesport,"Jonesport town, Washington County, Maine","1,206",0.304,-0.832,0.624,0.684, NA,-0.844,0.255,-2.433,-0.232,-0.163,1.797,2.087,high,high,low,low,med,low,med high,med high,NA,low,med,low
2022,Northeast,New England,ME,"Milbridge, ME",Milbridge,"Milbridge town, Washington County, Maine","1,369",0.11,-0.438,0.706,1.17,1.259,0.419,0.728,-2.228,-0.232,-0.163,1.698,1.779,high,high,low,low,med,low,med high,high,high,med,med high,low
2022,Northeast,New England,NH,"Rye, NH",Rye,"Rye town, Rockingham County, New Hampshire","5,552",-0.78,-0.87,-0.74,0.175,-0.594,0.239,0.274,0.867,0.735,0.275,1.698,0.348,high,med,med high,med,low,low,low,med,low,med,med,med high
2022,Northeast,New England,CT,"Stonington/Mystic/Pawcatuck, CT",Stonington,"Stonington town, New London County, Connecticut","18,397",-0.656,-0.543,-0.489,-0.226,0.038, NA,0.034,-0.419,1.75,0.076,1.683,0.048,high,med,high,med,low,low,low,low,med,NA,med,low
2022,Northeast,New England,ME,"Boothbay Harbor, ME",Boothbay Harbor,"Boothbay Harbor town, Lincoln County, Maine","2,073",-0.55,-0.533,-0.689,1.316,0.768,0.086,1.391,-0.866,0.071,0.278,1.672,1.045,high,high,med,med,low,low,low,high,med high,med,high,low
2022,Northeast,Mid-Atlantic,NJ,"Atlantic City, NJ",Atlantic City,"Atlantic City city, New Jersey","38,487",2.13,2.028,2.221,0.146,0.87,-0.474,-0.271,-0.534,0.065,-0.139,1.659,-0.002,high,low,med,low,high,high,high,med,med high,low,low,low
2022,Northeast,New England,ME,"Gouldsboro/Corea/Prospect Harbor, ME",Gouldsboro,"Gouldsboro town, Hancock County, Maine","1,679",-0.561,-0.808,-0.17,1.275,0.866,-0.2,1.327,-2.009,-0.232,-0.163,1.622,1.915,high,high,low,low,low,low,low,high,med high,low,high,low
2022,Northeast,New England,MA,"Marshfield/Green Harbor-Cedar Crest/Marshfield Hills/Ocean Bluff-Brant Rock, MA",Marshfield,"Marshfield town, Plymouth County, Massachusetts","25,782",-0.622,-0.536,-0.179,-0.579,-0.464,0.129,-0.254,0.341,1.267,-0.021,1.591,0.006,high,med,high,low,low,low,low,low,low,med,low,med
2022,Northeast,New England,MA,"Barnstable Town, MA",Barnstable Town,"Barnstable Town city, Barnstable County, Massachusetts","48,922",-0.435,0.178,-0.345,-0.429,-0.285, NA,0.01,-0.084,4.204,0.094,1.584,-0.05,high,low,high,med,low,med,low,low,low,NA,med,low
2022,Northeast,New England,MA,"Westport, MA",Westport,"Westport town, Bristol County, Massachusetts","16,330",-0.444,-0.541,-0.302,-0.21,0.193,0.161,0.083,0.307,2.499,0.221,1.527,0.016,high,med,high,med,low,low,low,low,med,med,med,med
2022,Northeast,New England,MA,"Plymouth, MA",Plymouth,"Plymouth town, Plymouth County, Massachusetts","61,628",-0.407,-0.527,-0.529,-0.269,-0.351,0.48,0.061,0.451,2.335,-0.073,1.415,-0.084,high,low,high,low,low,low,low,low,low,med,med,med
2022,Northeast,Mid-Atlantic,MD,"Ocean City, MD",Ocean City,"Ocean City town, Maryland","6,879",0.181,-0.133,-0.264,-0.048,0.895,-0.268,0.434,-1.302,6.151,1.959,1.393,0.362,high,med,high,high,med,low,low,low,med high,low,med,low
2022,Northeast,New England,MA,"Rockport, MA",Rockport,"Rockport town, Essex County, Massachusetts","6,973",-0.44,-0.656,-0.721,0.398,-0.318,-0.36,0.875,0.457,-0.152,-0.135,1.379,0.22,high,med,low,low,low,low,low,med,low,low,med high,med
2022,Northeast,New England,NH,"Hampton, NH",Hampton,"Hampton town, Rockingham County, New Hampshire","16,294",-0.582,-0.756,-0.498,-0.081,-0.025,-0.343,0.165,0.237,2.815,0.35,1.335,0.025,high,med,high,med,low,low,low,low,low,low,med,med
2022,Northeast,New England,MA,"Sandwich/East Sandwich/Forestdale, MA",Sandwich,"Sandwich town, Barnstable County, Massachusetts","20,419",-0.786,-0.73,-0.581,-0.304,-0.358,0.305,0.321,-0.176,3.28,0.116,1.331,-0.011,high,low,high,med,low,low,low,low,low,med,med,low
2022,Northeast,New England,MA,"Nantucket, MA",Nantucket,"Nantucket CDP, Massachusetts","10,479",-0.603,0.37,-0.694,-0.719,-1.344,0.639,-0.177,0.545,1.184,0.203,1.316,0.012,high,med,high,med,low,med,low,low,low,med high,low,med high
2022,Northeast,New England,MA,"Wellfleet, MA",Wellfleet,"Wellfleet town, Barnstable County, Massachusetts","4,352",-0.998,-0.517,-0.862,0.273,-0.1,1.81,0.827,-0.303,-0.178,-0.133,1.298,0.441,high,med,low,low,low,low,low,med,low,high,med high,low
2022,Northeast,New England,MA,"Provincetown, MA",Provincetown,"Provincetown CDP, Massachusetts","3,433",-0.234,0.042,0.615,-0.148,0.461,0.207,-0.157,0.167,1.637,1.403,1.293,0.786,high,med high,high,high,low,med,med high,low,med,med,low,med
2022,Southeast,Mid-Atlantic,NC,"Beaufort, NC",Beaufort,"Beaufort town, North Carolina","4,534",0.307,-0.555,0.26,0.841,0.83,-0.641,0.745,-1.072,1.911,0.915,1.266,0.424,high,med,high,med high,med,low,med,med high,med high,low,med high,low
2022,Northeast,Mid-Atlantic,NJ,"Belford, NJ",Belford,"Belford CDP, New Jersey","1,935",0.054,-0.009,-0.51,-0.45,-0.998,1.13,-0.408,0.08,-0.232,-0.163,1.262,1.037,high,high,low,low,med,low,low,low,low,high,low,med
2022,Northeast,New England,ME,"Rockland, ME",Rockland,"Rockland city, Maine","6,986",0.365,-0.617,0.418,-0.072,0.858,0.15,-0.237,-1.348,0.122,-0.095,1.253,0.123,high,med,med,low,med,low,med,low,med high,med,low,low
2022,Northeast,New England,ME,"Harrington, ME",Harrington,"Harrington town, Washington County, Maine",845,-0.236,-0.883,-0.49,0.181, NA,-0.803,0.224,-2.343,-0.232,-0.163,1.252,2.558,high,high,low,low,low,low,low,med,NA,low,med,low
2022,Northeast,New England,RI,"Newport, RI",Newport,"Newport city, Rhode Island","25,087",0.033,-0.183,0.253,-0.214,-0.085,1.452,-0.283,0.255,0.269,-0.125,1.234,0.002,high,med,med,low,med,low,med,low,low,high,low,med
2022,Northeast,New England,ME,"Tremont, ME",Tremont,"Tremont town, Hancock County, Maine","1,503",-0.547,-0.676,-0.756,-0.723,0.581,0.126,-0.571,-1.67,-0.232,-0.163,1.205,1.593,high,high,low,low,low,low,low,low,med high,med,low,low
2022,Northeast,New England,ME,"Deer Isle, ME",Deer Isle,"Deer Isle town, Hancock County, Maine","2,324",0.013,-0.675,0.542,0.913,0.724,-0.074,0.503,-1.56,-0.232,-0.163,1.194,0.581,high,med high,low,low,med,low,med high,med high,med high,low,med high,low
2022,Northeast,Mid-Atlantic,NY,"Queens, NY",Queens,"Queens borough, Queens County, New York","2,360,826",0.279,2.296,0.25,-0.317,-0.194,0.842,-0.458,2.877,2.747,-0.16,1.192,-0.122,high,low,high,low,med,high,med,low,low,med high,low,high
2022,Southeast,Mid-Atlantic,NC,"New Bern, NC",New Bern,"New Bern city, North Carolina","31,373",0.344,-0.149,0.797,0.082,0.913,-0.422,0.153,-1.018,2.83,0.075,1.191,-0.047,high,low,high,med,med,low,med high,med,med high,low,med,low
2022,Northeast,Mid-Atlantic,VA,"Virginia Beach, VA",Virginia Beach,"Virginia Beach city, Virginia","457,900",-0.312,-0.16,-0.309,-0.669,-0.026,-0.027,-0.571,-0.213,7.792,-0.12,1.116,-0.117,high,low,high,low,low,low,low,low,low,low,low,low
2022,Northeast,New England,ME,"Cushing, ME",Cushing,"Cushing town, Knox County, Maine","1,464",-0.773,-0.727,-0.376,0.021,0.652,0.869,0.115,-1.107,-0.232,-0.163,1.102,1.148,high,high,low,low,low,low,low,med,med high,med high,med,low
2022,Northeast,New England,MA,"Harwich Center, MA",Harwich Center,"Harwich Center CDP, Massachusetts","1,419",-0.496,-0.511,-1.067,1.038, NA,2.253,1.353,-0.377,-0.232,-0.163,1.087,0.925,high,med high,low,low,low,low,low,high,NA,high,high,low
2022,Northeast,New England,MA,"Chilmark, MA",Chilmark,"Chilmark town, Dukes County, Massachusetts","1,561",-0.178,-0.797,-0.968,0.336,-1.018,0.695,1.386,2.433,-0.002,0.047,1.084,0.868,high,med high,low,med,low,low,low,med,low,med high,high,high
2022,Northeast,Mid-Atlantic,VA,"District 1/Grafton/Seaford/Yorktown (York County), VA",District 1 (York County),"District 1, York County, Virginia","16,601",-0.441,-0.467,-0.678,-0.283,-0.208,-0.598,0.161, NA,0.564,-0.071,1.045,0.047,high,med,med high,low,low,low,low,low,low,low,med,NA
2022,Northeast,New England,ME,"Addison, ME",Addison,"Addison town, Washington County, Maine","1,192",0.802,-0.901,1.456,1.227,1.515,-0.231,0.756,-2.383,-0.232,-0.163,1.039,1.217,high,high,low,low,med high,low,high,high,high,low,med high,low
2022,Northeast,New England,ME,"Thomaston, ME",Thomaston,"Thomaston CDP, Maine","2,101",-0.051,0.587,-0.398,0.497,0.651,-0.24,0.717,-1.246,-0.149,-0.067,1.036,0.382,high,med,low,low,low,med high,low,med,med high,low,med high,low
2022,Northeast,New England,NH,"Seabrook, NH",Seabrook,"Seabrook town, Rockingham County, New Hampshire","8,443",0.041,-0.733,-0.436,0.322,0.629,-0.649,0.472,0.31,3,0.835,1.032,0.13,high,med,high,med high,med,low,low,med,med high,low,med,med
2022,Northeast,Mid-Atlantic,NY,"Freeport, NY",Freeport,"Freeport village, New York","44,210",0.025,3.217,-0.273,-0.538,-0.732,-0.006,-0.223,1.294,1.537,-0.047,1.024,-0.083,high,low,high,low,med,high,low,low,low,low,low,high
2022,Northeast,Mid-Atlantic,NJ,"Lacey/Forked River/Lanoka Harbor, NJ",Lacey,"Lacey township, Ocean County, New Jersey","28,879",-0.513,-0.378,-0.673,-0.106,-0.384,-0.015,0.234, NA,0.158,-0.13,1.009,-0.088,high,low,med,low,low,low,low,low,low,low,med,NA
2022,Northeast,Mid-Atlantic,NJ,"Brick, NJ",Brick,"Brick township, Ocean County, New Jersey","74,230",-0.414,-0.152,-0.682,-0.32,-0.168,-0.125,-0.051, NA,-0.007,-0.159,0.999,-0.108,med high,low,low,low,low,low,low,low,low,low,low,NA
2022,Northeast,New England,ME,"Boothbay, ME",Boothbay,"Boothbay town, Lincoln County, Maine","3,047",-0.958,-0.669,-0.92,1.014,0.815,-0.998,1.296,-0.842,-0.232,-0.163,0.984,0.318,med high,med,low,low,low,low,low,high,med high,low,high,low
2022,Northeast,New England,RI,"Charlestown, RI",Charlestown,"Charlestown town, Washington County, Rhode Island","7,998",-0.39,-0.778,-0.629,-0.201,0.221,-0.346,0.131,-0.427,0.857,0.098,0.982,0.003,med high,med,med high,med,low,low,low,low,med,low,med,low
2022,Southeast,Mid-Atlantic,NC,"Swan Quarter, NC",Swan Quarter,"Swan Quarter township, Hyde County, North Carolina",688,-0.589,-1.035,-1.067,0.56, NA, NA,0.813,-1.602,0.298,1.702,0.939,2.525,med high,high,med,high,low,low,low,med high,NA,NA,med high,low
2022,Northeast,New England,ME,"Owls Head, ME",Owls Head,"Owls Head town, Knox County, Maine","1,440",-0.567,-0.681,-0.341,0.244,0.269,0.02,0.223,-1.223,-0.232,-0.163,0.939,1.128,med high,high,low,low,low,low,low,med,med,med,med,low
2022,Northeast,New England,MA,"Orleans, MA",Orleans,"Orleans town, Barnstable County, Massachusetts","6,322",-0.719,-0.574,-0.268,1.055,-0.168,1.127,1.417,-0.209,1.142,0.471,0.902,0.059,med high,med,high,med,low,low,low,high,low,high,high,low
2022,Northeast,New England,ME,"Machiasport, ME",Machiasport,"Machiasport town, Washington County, Maine",924,-0.577,-0.526,-0.007,0.121,1.008,-0.36,0.329,-2.563,-0.232,-0.163,0.846,1.458,med high,high,low,low,low,low,low,med,high,low,med,low
2022,Northeast,New England,ME,"Saco, ME",Saco,"Saco city, Maine","20,446",-0.574,-0.513,-0.156,-0.89,0.412,0.13,-0.582,-0.217,1.66,0.006,0.845,-0.073,med high,low,high,med,low,low,low,low,med,med,low,low
2022,Northeast,New England,ME,"South Bristol, ME",South Bristol,"South Bristol town, Lincoln County, Maine",976,-0.547,-0.856,-0.095,0.515,0.613,-0.376,0.373,-0.744,-0.232,-0.163,0.843,1.839,med high,high,low,low,low,low,low,med high,med high,low,med,low
2022,Northeast,New England,RI,"Little Compton, RI",Little Compton,"Little Compton town, Newport County, Rhode Island","3,622",-0.644,-0.844,-0.906,0.561,-0.966,0.866,1.178,0.26,-0.138,-0.101,0.826,0.339,med high,med,low,low,low,low,low,med high,low,med high,high,med
2022,Northeast,New England,MA,"Mattapoisett, MA",Mattapoisett,"Mattapoisett town, Plymouth County, Massachusetts","6,511",-0.92,-0.888,-0.748,-0.031,-0.352,0.492,0.394,0.596,0,-0.091,0.791,0.005,med high,med,med,low,low,low,low,low,low,med,med,med high
2022,Northeast,New England,ME,"York Harbor, ME",York Harbor,"York Harbor CDP, Maine","3,640",-0.938,-0.591,-0.723,0.394,-0.23,-0.5,0.485,-0.234,-0.147,-0.1,0.79,0.245,med high,med,low,low,low,low,low,med,low,low,med,low
2022,Northeast,Mid-Atlantic,NY,"Brooklyn/Sheepshead Bay, NY",Brooklyn,"Brooklyn borough, Kings County, New York","2,679,620",0.681,1.403,1.028,-0.452,-0.212,1.779,-0.702,4.6,5.284,-0.158,0.76,-0.121,med high,low,high,low,med high,high,high,low,low,high,low,high
2022,Northeast,New England,ME,"Eliot, ME",Eliot,"Eliot town, York County, Maine","6,848",-0.941,-0.453,-0.819,-0.566,0.011,0.557,0.102,-0.363,-0.122,-0.126,0.757,-0.011,med high,low,low,low,low,low,low,low,med,med high,med,low
2022,Northeast,New England,MA,"Duxbury, MA",Duxbury,"Duxbury CDP, Massachusetts","1,761",-0.457,-1,-0.096,-0.141, NA,-0.593,-0.058,1.018,1.825,3.08,0.755,0.678,med high,med high,high,high,low,low,low,low,NA,low,low,high
2022,Northeast,Mid-Atlantic,NY,"East Hampton, NY",East Hampton,"East Hampton village, New York","1,270",-0.684,0.417,-0.04,1.185,-1.488,1.517,0.852,1.928,-0.232,-0.163,0.754,0.468,med high,med,low,low,low,med,low,high,low,high,med high,high
2022,Northeast,New England,ME,"Swans Island, ME",Swans Island,"Swans Island town, Hancock County, Maine",417,0.302,-0.982,-0.509,-0.379, NA,0.077,-0.272,-1.61,-0.232,-0.163,0.735,3.879,med high,high,low,low,med,low,low,low,NA,med,low,low
2022,Southeast,Mid-Atlantic,NC,"Morehead City, NC",Morehead City,"Morehead City town, North Carolina","9,632",0.244,-0.445,0.303,0.192,0.718,0.418,0.191,-0.934,8.854,1.899,0.726,-0.046,med high,low,high,high,med,low,med,med,med high,med,med,low
2022,Northeast,New England,ME,"Winter Harbor, ME",Winter Harbor,"Winter Harbor town, Hancock County, Maine",434,-0.22,-0.923,-0.792,2.672,0.992,-1.068,2.416,-2.049,-0.232,-0.163,0.72,3.592,med high,high,low,low,low,low,low,high,med high,low,high,low
2022,Northeast,Mid-Atlantic,NJ,"Wildwood, NJ",Wildwood,"Wildwood city, New Jersey","5,164",0.279,-0.043,0.244,-0.032,0.324,1.738,-0.55,-0.463,0.603,0.227,0.707,0.147,med high,med,med high,med,med,low,med,low,med,high,low,low
2022,Northeast,Mid-Atlantic,VA,"Chincoteague, VA",Chincoteague,"Chincoteague town, Virginia","3,303",-0.136,-0.622,0.182,1.138,1.242,0.033,1.164,-1.508,1.008,0.673,0.694,0.285,med high,med,high,med high,low,low,med,high,high,med,high,low
2022,Northeast,Mid-Atlantic,NY,"East Quogue, NY",East Quogue,"East Quogue CDP, New York","5,620",-0.217,0.546,-0.141,-0.009,-0.886,2.096,0.28,0.59,-0.206,-0.157,0.686,-0.017,med high,low,low,low,low,med high,low,low,low,high,med,med high
2022,Northeast,New England,ME,"Southwest Harbor, ME",Southwest Harbor,"Southwest Harbor town, Hancock County, Maine","1,496",-0.506,-0.525,-0.424,0.258,0.81,0.009,0.381,-1.666,-0.012,0.289,0.673,1.228,med high,high,low,med,low,low,low,med,med high,med,med,low
2022,Northeast,New England,ME,"Phippsburg, ME",Phippsburg,"Phippsburg town, Sagadahoc County, Maine","1,961",-0.853,-0.903,-0.457,-0.141,0.93,-0.75,0.231,-0.728,0.326,0.273,0.642,0.562,med high,med high,med,med,low,low,low,low,med high,low,med,low
2022,Northeast,Mid-Atlantic,DE,"Lewes, DE",Lewes,"Lewes city, Delaware","3,339",-0.871,-0.851,-0.251,1.844,-0.263,0.979,2.242,-0.646,4.363,2.855,0.641,0.226,med high,med,high,high,low,low,low,high,low,med high,high,low
2022,Northeast,New England,MA,"Beverly, MA",Beverly,"Beverly city, Essex County, Massachusetts","42,414",-0.432,-0.102,0.034,-0.63,-0.295,0.04,-0.528,0.625,-0.232,-0.163,0.64,-0.084,med high,low,low,low,low,low,med,low,low,med,low,med high
2022,Northeast,New England,ME,"Bar Harbor, ME",Bar Harbor,"Bar Harbor town, Hancock County, Maine","5,161",-0.317,-0.86,-0.111,-0.575,0.331,0.211,-0.5,-1.706,0.219,0.106,0.614,0.141,med high,med,med,med,low,low,low,low,med,med,low,low
2022,Northeast,Mid-Atlantic,VA,"Norfolk, VA",Norfolk,"Norfolk city, Virginia","236,973",0.492,-0.065,0.554,-0.628,0.495,0.216,-0.824,-0.104,3.329,-0.139,0.607,-0.117,med high,low,high,low,med,low,med high,low,med,med,low,low
2022,Southeast,Mid-Atlantic,NC,"Oriental, NC",Oriental,"Oriental town, North Carolina",968,-0.585,-0.801,-0.903,2.5,0.544,-0.511,2.675,-1.015,-0.193,-0.067,0.594,0.733,med high,med high,low,low,low,low,low,high,med high,low,high,low
2022,Northeast,New England,CT,"New London, CT",New London,"New London town, New London County, Connecticut","27,596",0.576,1.118,1.059,-0.438,0.646, NA,-0.594,-0.383,0.418,-0.126,0.593,-0.068,med high,low,med,low,med high,high,high,low,med high,NA,low,low
2022,Northeast,New England,MA,"Harwich Port, MA",Harwich Port,"Harwich Port CDP, Massachusetts","2,252",-0.595,-0.514,-0.579,0.947,0.236,-0.521,1.266,-0.235,2.46,2.883,0.576,0.544,med high,med high,high,high,low,low,low,med high,med,low,high,low
2022,Northeast,New England,MA,"Tisbury/Vineyard Haven, MA",Tisbury,"Tisbury town, Dukes County, Massachusetts","4,809",-0.124,0.504,-0.113,-0.254,-0.397,2.134,0.312,0.836,0.832,0.431,0.559,0.02,med high,med,med high,med,low,med high,low,low,low,high,med,med high
