"","Time","Region","Value","Units","Var","Source"
"36",2017,"MA",9.66095488839513,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"37",2018,"MA",9.63974680363201,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"38",2019,"MA",9.93658750185205,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"39",1982,"NE",7.36370755246286,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"40",1983,"NE",7.04853141924824,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"41",1984,"NE",7.57845932946076,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"42",1985,"NE",7.27862343940736,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"43",1986,"NE",7.900549900601,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"44",1987,"NE",8.03928017600423,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"45",1988,"NE",9.07372330014065,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"46",1989,"NE",7.7694829189149,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"47",1990,"NE",8.09628778950571,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"48",1991,"NE",7.02715336488134,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"49",1992,"NE",8.25504685759987,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"50",1993,"NE",8.09914098968136,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"51",1994,"NE",5.47637966573323,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"52",1995,"NE",7.19554242867369,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"53",1996,"NE",7.20966836805011,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"54",1997,"NE",7.166431184037,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"55",1998,"NE",6.38340497462417,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"56",1999,"NE",7.89969184325776,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"57",2000,"NE",7.97778457464259,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"58",2001,"NE",7.73259968460958,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"59",2002,"NE",7.99845563787208,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"60",2003,"NE",7.716650233843,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"61",2004,"NE",7.05797039872462,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"62",2005,"NE",7.16822106390944,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"63",2006,"NE",6.24536185539866,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"64",2007,"NE",7.99990419887992,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"65",2008,"NE",8.98665946800229,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"66",2009,"NE",9.32227266066417,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"67",2010,"NE",8.624006069612,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"68",2011,"NE",8.69280032453185,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"69",2012,"NE",9.3536546287208,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"70",2013,"NE",9.81606652169017,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"71",2014,"NE",10.7641413892801,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"72",2015,"NE",9.4117381226851,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"73",2016,"NE",9.98674120984258,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"74",2017,"NE",8.80724683764708,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"75",2018,"NE",8.48202027292793,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"76",2019,"NE",9.12534130504237,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
