"Time","Value","EPU","Source","Var","Units"
1984,9.32817245399082,"MAB","ROMS","Annual_Bottom Temp","degree C"
1984,7.79388989798161,"SS","ROMS","Annual_Bottom Temp","degree C"
1985,9.16232770859834,"GB","ROMS","Annual_Bottom Temp","degree C"
1985,6.99386225545058,"GOM","ROMS","Annual_Bottom Temp","degree C"
1985,10.9157267846634,"MAB","ROMS","Annual_Bottom Temp","degree C"
1985,8.26419786398115,"SS","ROMS","Annual_Bottom Temp","degree C"
1986,9.18412945550534,"GB","ROMS","Annual_Bottom Temp","degree C"
1986,7.26572283156469,"GOM","ROMS","Annual_Bottom Temp","degree C"
1986,11.3922539426193,"MAB","ROMS","Annual_Bottom Temp","degree C"
1986,8.077457826424,"SS","ROMS","Annual_Bottom Temp","degree C"
1987,8.29150561056275,"GB","ROMS","Annual_Bottom Temp","degree C"
1987,6.85532823284162,"GOM","ROMS","Annual_Bottom Temp","degree C"
1987,10.15711772486,"MAB","ROMS","Annual_Bottom Temp","degree C"
1987,7.30514209425023,"SS","ROMS","Annual_Bottom Temp","degree C"
1988,8.12707421902573,"GB","ROMS","Annual_Bottom Temp","degree C"
1988,7.13796661262643,"GOM","ROMS","Annual_Bottom Temp","degree C"
1988,9.97096101846563,"MAB","ROMS","Annual_Bottom Temp","degree C"
1988,7.53387196392124,"SS","ROMS","Annual_Bottom Temp","degree C"
1989,8.38164518714673,"GB","ROMS","Annual_Bottom Temp","degree C"
1989,6.63585676597361,"GOM","ROMS","Annual_Bottom Temp","degree C"
1989,10.2454665929715,"MAB","ROMS","Annual_Bottom Temp","degree C"
1989,7.43738371451762,"SS","ROMS","Annual_Bottom Temp","degree C"
1990,8.59062705663424,"GB","ROMS","Annual_Bottom Temp","degree C"
1990,6.88964019027957,"GOM","ROMS","Annual_Bottom Temp","degree C"
1990,10.9465308145549,"MAB","ROMS","Annual_Bottom Temp","degree C"
1990,7.8198190367622,"SS","ROMS","Annual_Bottom Temp","degree C"
1991,9.44389607543665,"GB","ROMS","Annual_Bottom Temp","degree C"
1991,7.23402413556136,"GOM","ROMS","Annual_Bottom Temp","degree C"
1991,11.0283078799868,"MAB","ROMS","Annual_Bottom Temp","degree C"
1991,8.48248991511832,"SS","ROMS","Annual_Bottom Temp","degree C"
1992,8.36991810839975,"GB","ROMS","Annual_Bottom Temp","degree C"
1992,6.11365244750689,"GOM","ROMS","Annual_Bottom Temp","degree C"
1992,10.4976447662713,"MAB","ROMS","Annual_Bottom Temp","degree C"
1992,6.97003868702843,"SS","ROMS","Annual_Bottom Temp","degree C"
2024,7.58721460543423,"GB","GLORYS","Annual_Bottom Temp","degree C"
2024,7.63960306495942,"GOM","GLORYS","Annual_Bottom Temp","degree C"
2024,9.48322483612814,"MAB","GLORYS","Annual_Bottom Temp","degree C"
2024,7.11252810846231,"SS","GLORYS","Annual_Bottom Temp","degree C"
1959,-0.805427819494285,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1959,-1.71215286508909,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1959,-2.8934241797025,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1959,-0.590935371248277,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1959,-1.3305395614638,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1959,-1.06132098098566,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1959,-1.58155385556088,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1959,-1.12640291849534,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1959,-0.655791646870345,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1959,-0.952131363870021,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1959,-1.37646517404242,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1959,-1.46832125024422,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1959,-1.65902774157893,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1959,-0.653164944253509,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1959,-0.677558360043597,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1959,-1.14626234197846,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1960,-0.173490457058269,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1960,-1.99916465118342,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1960,-2.53370349703667,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1960,-0.307936206502378,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1960,-0.354096882824336,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1960,-0.872465572521131,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1960,-1.36052601305919,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1960,-1.49900841393988,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1960,-1.37955922094632,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1960,-1.02801159910907,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1960,-1.7180125560524,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1960,-1.89808768066983,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1960,-1.58644776422587,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1960,-0.867783974341932,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1960,-1.20151806325375,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1960,-1.41422681688725,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1961,-0.904951939863529,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1961,-2.00648034120962,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1961,-2.71823981047143,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1961,-0.238567754840915,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1961,-0.857686321286691,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1961,-1.21528852462718,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1961,-1.76724077874125,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1961,-2.39782651893499,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1961,-1.59507236320956,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1961,-1.07719795610712,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1961,-1.60300079880142,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1961,-1.69652865118287,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1961,-1.95347839004298,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1961,-1.36305286049119,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1961,-1.01789463820532,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1961,-1.523140814848,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1962,-0.459849542204541,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1962,-1.14889732584406,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1962,-1.58239125532246,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1962,-0.322905679672488,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1962,-0.713290228354508,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1962,-0.641280984485993,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1962,-1.56401112842191,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1962,-1.9259025476355,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1962,-1.48515589604792,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1962,-1.16572590983605,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1962,-1.75815563012807,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1962,-1.8676629390931,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1962,-1.70694192628018,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1962,-1.02022593123999,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1962,-1.28721304976499,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1962,-0.746022815418973,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1963,-0.784884548431235,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1963,-1.51592067642739,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1963,-2.06578583647747,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1963,-0.0260026255936978,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1963,-0.672121891883395,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1963,-0.702227924706834,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1963,-1.48503050008317,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1963,-1.71134188575008,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1963,-1.17566565736511,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1963,-0.569610646424337,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1963,-1.22858069211298,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1963,-1.37660511320385,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1963,-1.15797426360071,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1963,-0.679659731935551,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1963,-1.31864100732189,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1963,-1.41156615335894,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1964,-0.483906179719874,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1964,-1.41793791991983,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1964,-2.12090796578592,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1964,-0.347729647730972,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1964,-1.26187679517529,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1964,-1.19456302213496,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1964,-1.78059124185534,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1964,-2.09351206046325,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1964,-0.797969442859615,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1964,0.137298063124647,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1964,-0.591983188837004,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1964,-1.01415081608935,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1964,-1.40497930153068,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1964,-0.879505817156002,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1964,-1.22722150755423,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1964,-1.93117872346808,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1965,-0.756523913143901,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1965,-2.12809130914175,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1965,-3.49778382428179,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1965,-1.94102703170112,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1965,-1.6084694314933,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1965,-1.84401134693136,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1965,-2.33050022940549,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1965,-2.43044830678665,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1965,-1.660352996207,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1965,-0.615422829798097,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1965,-1.13442050669872,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1965,-1.18830853493079,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1965,-1.95962062898739,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1965,-1.19525152395019,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1965,-1.67722688194395,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1965,-1.78948748552613,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1966,-1.35120523378737,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1966,-1.86802642808844,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1966,-2.72775753945091,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1966,-1.79933106121173,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1966,-1.66072353857637,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1966,-1.55983490934591,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1966,-2.10178373466412,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1966,-1.5292290492188,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1966,-1.63191196999248,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1966,-0.511727148893312,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1966,-1.13213009803125,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1966,-1.13800131590387,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1966,-1.81476901548849,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1966,-0.634030544010917,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1966,-1.16808472089526,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1966,-1.18031397610987,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1967,-0.465593767110794,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1967,-1.62368352577103,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1967,-2.68045664287696,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1967,-2.02799313671691,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1967,-0.744062476459297,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1967,-1.78039114493515,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1967,-2.13654775830823,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1967,-1.90424299857144,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1967,-1.5025903304804,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1967,-0.806584680156815,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1967,-1.35552130865848,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1967,-1.19662456318321,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1967,-1.52230971422598,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1967,-0.948523924800999,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1967,-1.00851459100348,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1967,-1.3632806857414,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1968,-1.4505266288068,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1968,-1.67504354186728,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1968,-2.51696152208588,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1968,-2.01264279000396,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1968,-1.69917209165496,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1968,-1.28525930030252,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1968,-1.94481975372988,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1968,-1.5696017652855,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1968,-2.0485619309941,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1968,-1.2256652325605,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1968,-1.63696158189235,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1968,-1.38224535682989,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1968,-1.96588401519109,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1968,-0.554745415901565,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1968,-0.687422233577405,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1968,-0.724588528637206,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1969,-1.90041666495783,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1969,-1.90056404327814,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1969,-2.40837729887494,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1969,-0.684480033744901,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1969,-1.24804560288176,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1969,-0.575869802798595,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1969,-1.36700288306519,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1969,-0.558114645831242,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1969,-2.11242788754592,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1969,-1.38468661190401,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1969,-1.83406804941118,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1969,-1.49003344390776,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1969,-1.47368793405598,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1969,-0.434940947311195,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1969,-0.611568902106465,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1969,-0.692450994401552,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1970,-0.495061677395131,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1970,-1.26038928325602,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1970,-2.35141399069116,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1970,-1.21484489148684,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1970,-0.906557087343248,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1970,-0.968406379749273,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1970,-1.53687024137892,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1970,-0.741729281419014,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1970,-1.69226052288052,"GOM","ROMS","Winter_Bottom Temp Anomaly","degree C"
1970,-0.399630233703674,"GOM","ROMS","Spring_Bottom Temp Anomaly","degree C"
1970,-0.945278161898105,"GOM","ROMS","Summer_Bottom Temp Anomaly","degree C"
1970,-0.715871303246835,"GOM","ROMS","Fall_Bottom Temp Anomaly","degree C"
1970,-0.8266261246087,"SS","ROMS","Winter_Bottom Temp Anomaly","degree C"
1970,-0.249484146227722,"SS","ROMS","Spring_Bottom Temp Anomaly","degree C"
1970,-0.0577090151906763,"SS","ROMS","Summer_Bottom Temp Anomaly","degree C"
1970,-0.173156951903154,"SS","ROMS","Fall_Bottom Temp Anomaly","degree C"
1971,-0.754318041195098,"MAB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1971,-1.90374515383991,"MAB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1971,-3.08045418532108,"MAB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1971,-0.628412770867262,"MAB","ROMS","Fall_Bottom Temp Anomaly","degree C"
1971,-1.29458103288737,"GB","ROMS","Winter_Bottom Temp Anomaly","degree C"
1971,-1.24686938956131,"GB","ROMS","Spring_Bottom Temp Anomaly","degree C"
1971,-1.45047279738434,"GB","ROMS","Summer_Bottom Temp Anomaly","degree C"
1971,-0.491555259843283,"GB","ROMS","Fall_Bottom Temp Anomaly","degree C"
